Phrase ^ Count
saith the lord  ^ 731
and fire  ^ 3
signs in  ^ 3
where they were  ^ 3
ye men of israel  ^ 3
because it was  ^ 3
before my face  ^ 3
rejoice and  ^ 3
sitting and  ^ 3
there appeared unto them  ^ 3
his throne  ^ 3
neither his  ^ 3
whereof we  ^ 3
ye now  ^ 3
said unto my  ^ 3
until i make  ^ 3
and with many  ^ 3
souls and  ^ 3
of bread and  ^ 3
together and  ^ 3
out of every  ^ 3
under heaven  ^ 3
and marveled  ^ 3
and talked  ^ 3
if it were  ^ 3
he would  ^ 3
i came into  ^ 3
at all seasons  ^ 3
they were come to  ^ 3
tears and  ^ 3
parts and  ^ 3
of all for  ^ 3
the counsel  ^ 3
take heed therefore  ^ 3
blood for  ^ 3
with tears  ^ 3
and to give  ^ 3
to give you  ^ 3
weak and  ^ 3
five days  ^ 3
and fell down  ^ 3
there many days  ^ 3
bind the  ^ 3
and shall deliver  ^ 3
jerusalem then  ^ 3
heart for  ^ 3
be done and  ^ 3
received us  ^ 3
gladly and  ^ 3
unto him thou seest  ^ 3
and they are  ^ 3
they are all  ^ 3
the jews which  ^ 3
is it therefore  ^ 3
therefore this  ^ 3
concerning thee  ^ 3
next day  ^ 3
laid hands  ^ 3
also into  ^ 3
there the  ^ 3
unto the chief captain  ^ 3
soldiers and  ^ 3
and took him  ^ 3
the certainty  ^ 3
thee who  ^ 3
who said  ^ 3
thou that  ^ 3
suffer me  ^ 3
hebrew tongue  ^ 3
the shore  ^ 3
unto caesarea  ^ 3
thou hast seen and  ^ 3
concerning me  ^ 3
unto his death  ^ 3
the air  ^ 3
that he might know  ^ 3
commanded him  ^ 3
and told the  ^ 3
tell me  ^ 3
their council  ^ 3
letters unto  ^ 3
to damascus  ^ 3
bound unto  ^ 3
saul saul  ^ 3
why persecutest  ^ 3
persecutest thou me  ^ 3
thou me and  ^ 3
am jesus  ^ 3
thou persecutest  ^ 3
art thou lord  ^ 3
thou lord and  ^ 3
and were  ^ 3
fearing lest  ^ 3
came to the  ^ 3
therefore ye  ^ 3
this young man  ^ 3
him so  ^ 3
the prisoner  ^ 3
unto thee then  ^ 3
the third hour  ^ 3
how that the  ^ 3
when they came to  ^ 3
of the hope  ^ 3
the sadducees  ^ 3
but the pharisees  ^ 3
there arose a great  ^ 3
understand that  ^ 3
with any man  ^ 3
neither in  ^ 3
now after  ^ 3
after many  ^ 3
this day and  ^ 3
after certain  ^ 3
among all the  ^ 3
was come into the  ^ 3
to die but  ^ 3
and bernice  ^ 3
man to  ^ 3
it is  ^ 3
and commanded the  ^ 3
of their own  ^ 3
and because i  ^ 3
then agrippa  ^ 3
agrippa said  ^ 3
hear the  ^ 3
nothing worthy  ^ 3
and the next day  ^ 3
was come the  ^ 3
to do the  ^ 3
the hand  ^ 3
with authority  ^ 3
stand upon  ^ 3
from the power  ^ 3
inheritance among  ^ 3
is in me  ^ 3
coasts of judea  ^ 3
unto them of  ^ 3
governor and  ^ 3
man might  ^ 3
god unto  ^ 3
of the promise  ^ 3
the boat  ^ 3
and entering into  ^ 3
of them and said  ^ 3
and whom  ^ 3
sidon and  ^ 3
and let  ^ 3
of you and  ^ 3
to eat then  ^ 3
it was day  ^ 3
land but  ^ 3
to the wind  ^ 3
shore and  ^ 3
cilicia and  ^ 3
was now  ^ 3
they knew that  ^ 3
rain and  ^ 3
out of judea  ^ 3
him we  ^ 3
them concerning  ^ 3
understand and  ^ 3
with their heart and  ^ 3
and i should heal  ^ 3
i should heal them  ^ 3
when he had said  ^ 3
on his hand  ^ 3
and received  ^ 3
and teaching  ^ 3
they said among  ^ 3
gate of the  ^ 3
and they were filled  ^ 3
the porch  ^ 3
the just and  ^ 3
and desired  ^ 3
your brethren  ^ 3
me him  ^ 3
from among the  ^ 3
which will not  ^ 3
god made  ^ 3
abraham and  ^ 3
none but  ^ 3
rise up and  ^ 3
walk and  ^ 3
immediately his  ^ 3
he took him  ^ 3
and praising  ^ 3
him walking  ^ 3
the priests  ^ 3
of the council  ^ 3
this name  ^ 3
and commanded them  ^ 3
whether it be  ^ 3
and preached  ^ 3
all that the  ^ 3
that with all  ^ 3
hand to  ^ 3
neither said  ^ 3
of the resurrection  ^ 3
apostles feet  ^ 3
the money  ^ 3
named ananias  ^ 3
the young men  ^ 3
great fear  ^ 3
streets and  ^ 3
out of the cities  ^ 3
him which is  ^ 3
and told them  ^ 3
people then  ^ 3
for they feared  ^ 3
the officers  ^ 3
you that ye should not  ^ 3
one in  ^ 3
in thine  ^ 3
to teach and  ^ 3
it was about  ^ 3
thy husband  ^ 3
words against  ^ 3
false witnesses  ^ 3
law for  ^ 3
twelve called  ^ 3
called the  ^ 3
great wonders  ^ 3
then there arose  ^ 3
delivered him  ^ 3
and died  ^ 3
that abraham  ^ 3
abraham bought  ^ 3
of hamor the father of shechem  ^ 3
time of the  ^ 3
kindred and  ^ 3
am the god  ^ 3
now come  ^ 3
the bush  ^ 3
and dwelt in  ^ 3
as for this moses  ^ 3
what is become  ^ 3
the book of the  ^ 3
for the god  ^ 3
to his seed  ^ 3
none inheritance  ^ 3
inheritance in  ^ 3
my hand  ^ 3
as your  ^ 3
uncircumcised in heart  ^ 3
of whom ye  ^ 3
and murderers  ^ 3
and ran  ^ 3
cast him out  ^ 3
god spake  ^ 3
when he had said this  ^ 3
lay not  ^ 3
serve me  ^ 3
begat jacob and  ^ 3
was at jerusalem  ^ 3
except the  ^ 3
the miracles  ^ 3
then simon  ^ 3
that none  ^ 3
isaiah and  ^ 3
was this  ^ 3
mouth in  ^ 3
at the same  ^ 3
as they went  ^ 3
unto the high priest  ^ 3
at damascus  ^ 3
the street  ^ 3
straight and  ^ 3
a man named  ^ 3
must suffer  ^ 3
said is  ^ 3
days were fulfilled  ^ 3
and they watched  ^ 3
of good works  ^ 3
him two  ^ 3
was nigh to  ^ 3
them when  ^ 3
and when she saw  ^ 3
and when he had called  ^ 3
eyes were opened  ^ 3
israel in the days  ^ 3
who was  ^ 3
which he saw  ^ 3
he saw concerning  ^ 3
and his princes together  ^ 3
and utter his voice  ^ 3
and have not kept  ^ 3
shall the children of israel  ^ 3
god the god  ^ 3
of israel upon  ^ 3
and the lord hath not  ^ 3
hath not done  ^ 3
surely the lord  ^ 3
overthrew sodom  ^ 3
that ye may live  ^ 3
saith thus  ^ 3
in the wilderness forty  ^ 3
the lord is his name  ^ 3
of the name of the lord  ^ 3
the excellency of jacob  ^ 3
god showed  ^ 3
showed unto me and behold  ^ 3
and thy sons and thy daughters  ^ 3
god called  ^ 3
in the midst of my people  ^ 3
i will not again  ^ 3
them  and they shall plant vineyards  ^ 3
gardens and eat  ^ 3
the captivity of my people  ^ 3
israel out of the land  ^ 3
whom we have  ^ 3
him all things  ^ 3
of his flesh  ^ 3
whereof i  ^ 3
which is the  ^ 3
to whom god  ^ 3
riches of the  ^ 3
whom we  ^ 3
truth of the  ^ 3
knew the  ^ 3
the spirit for  ^ 3
of his will  ^ 3
and spiritual  ^ 3
him which  ^ 3
faith of the  ^ 3
the uncircumcision  ^ 3
was contrary  ^ 3
which all  ^ 3
not which  ^ 3
fullness of the  ^ 3
where christ  ^ 3
nor uncircumcision  ^ 3
when christ  ^ 3
therefore your  ^ 3
children of disobedience  ^ 3
old man  ^ 3
you always  ^ 3
it the  ^ 3
minister and  ^ 3
of the reign of jehoiakim  ^ 3
the children which  ^ 3
hananiah mishael  ^ 3
of the days that  ^ 3
communed with  ^ 3
that he would not  ^ 3
daniel for  ^ 3
days for  ^ 3
and spoke and said  ^ 3
i daniel  ^ 3
these things but  ^ 3
i will show thee  ^ 3
and behold a certain  ^ 3
clothed in linen  ^ 3
on my face  ^ 3
and the king of the south  ^ 3
with a great army  ^ 3
devices against  ^ 3
the holy covenant  ^ 3
but it shall not be  ^ 3
the time of the end  ^ 3
with gold and silver  ^ 3
shall not escape  ^ 3
into his own land  ^ 3
and ninety days  ^ 3
and behold there stood  ^ 3
other two  ^ 3
the earth that  ^ 3
that can  ^ 3
and there is none  ^ 3
that daniel  ^ 3
should not perish  ^ 3
this secret  ^ 3
then the king commanded  ^ 3
for wisdom  ^ 3
be the name  ^ 3
of judah  ^ 3
the interpretation the king  ^ 3
name was belteshazzar  ^ 3
what shall be  ^ 3
that i have  ^ 3
thou o king  ^ 3
of brass  ^ 3
and the fowls of the heaven  ^ 3
these kings  ^ 3
the king nebuchadnezzar  ^ 3
into the midst of a burning  ^ 3
of a burning fiery  ^ 3
worship the golden  ^ 3
image which  ^ 3
then nebuchadnezzar  ^ 3
which i have made  ^ 3
and said to the king  ^ 3
the rulers of the provinces  ^ 3
the king had set up  ^ 3
of the burning fiery  ^ 3
those men  ^ 3
hath sent his angel  ^ 3
any god  ^ 3
blessed be the god  ^ 3
because there is  ^ 3
no other  ^ 3
that dwell  ^ 3
the most high ruleth  ^ 3
ruleth in the kingdom  ^ 3
of men and giveth  ^ 3
and giveth it to whomsoever  ^ 3
it to whomsoever he will  ^ 3
this is the interpretation  ^ 3
grass as oxen  ^ 3
and seven times  ^ 3
in the palace  ^ 3
how great  ^ 3
is an everlasting kingdom  ^ 3
i nebuchadnezzar  ^ 3
of the earth and none  ^ 3
unto him what doest  ^ 3
of thee that  ^ 3
not show  ^ 3
if thou canst  ^ 3
gold about  ^ 3
and whom he would  ^ 3
the temple which  ^ 3
and silver vessels  ^ 3
in whose hand  ^ 3
of the wall  ^ 3
toward jerusalem  ^ 3
of the medes and persians  ^ 3
regardeth not  ^ 3
when he heard  ^ 3
the princes  ^ 3
concerning the kingdom  ^ 3
great beasts  ^ 3
the fourth beast  ^ 3
the ten horns  ^ 3
came up from  ^ 3
one from another  ^ 3
the beasts that  ^ 3
of the first  ^ 3
and behold there came up  ^ 3
but he said unto  ^ 3
mine eyes and saw  ^ 3
not the ground  ^ 3
standing before  ^ 3
of moses the servant  ^ 3
because we have sinned  ^ 3
of moses all  ^ 3
and cause thy face to shine  ^ 3
to shine upon  ^ 3
open thine eyes  ^ 3
hear o lord  ^ 3
to the men of judah  ^ 3
of judah and to the inhabitants  ^ 3
of heaven for multitude  ^ 3
you at that time  ^ 3
the land before  ^ 3
unto me every one  ^ 3
of the fruit of the land  ^ 3
to deliver us into the hand  ^ 3
on the first day of the month  ^ 3
until ye came  ^ 3
that good land  ^ 3
men of this  ^ 3
of this evil  ^ 3
should be a prey  ^ 3
me at that time  ^ 3
unto their fathers to give  ^ 3
and lord of lords  ^ 3
in the day of the assembly  ^ 3
hath no  ^ 3
even unto the end  ^ 3
your heart and with all  ^ 3
and with all your soul  ^ 3
unto your fathers to give  ^ 3
be able to stand before  ^ 3
i set  ^ 3
before you this day  ^ 3
ye have not known  ^ 3
mount gerizim  ^ 3
to go in to possess  ^ 3
the earth opened  ^ 3
and abiram the sons  ^ 3
the sons of eliab  ^ 3
the son of reuben  ^ 3
and go in and possess  ^ 3
a land that floweth  ^ 3
these are the statutes  ^ 3
a place which  ^ 3
and your sons and your daughters  ^ 3
place that  ^ 3
that thou seest  ^ 3
and thy son and thy daughter  ^ 3
and thy daughter and thy manservant  ^ 3
and thy manservant and thy maidservant  ^ 3
and thy maidservant and the levite  ^ 3
upon the high  ^ 3
it may go well with thee and with thy children  ^ 3
with thee and with thy children after  ^ 3
when thou doest  ^ 3
whatsoever is right  ^ 3
is right in his own eyes  ^ 3
which brought thee out of the land  ^ 3
more any  ^ 3
saying let us go  ^ 3
he hath sworn unto thy fathers  ^ 3
to the voice of the lord  ^ 3
to keep all  ^ 3
which thou hast not  ^ 3
thou hast not known  ^ 3
your god which brought you out  ^ 3
which brought you out of the land  ^ 3
thou nor thy fathers  ^ 3
of the earth even unto  ^ 3
which are round about  ^ 3
ye are the children  ^ 3
your god ye shall not  ^ 3
and every creeping thing  ^ 3
thou art a holy  ^ 3
art a holy people  ^ 3
thou shalt not seethe  ^ 3
seethe a kid  ^ 3
a kid in his mothers  ^ 3
in his mothers milk  ^ 3
the same year  ^ 3
thy god may bless  ^ 3
may bless thee in all  ^ 3
and the fatherless and the widow  ^ 3
the earth thou shalt not  ^ 3
eat any  ^ 3
and every beast  ^ 3
shall bless thee in all  ^ 3
thee six years  ^ 3
and thou shalt remember that  ^ 3
of egypt and the lord  ^ 3
thy god to observe  ^ 3
to observe to do  ^ 3
the seventh year  ^ 3
that are among  ^ 3
neither take  ^ 3
shall choose to place  ^ 3
giveth thou shalt not  ^ 3
of egypt all  ^ 3
at the place  ^ 3
days thou shalt eat  ^ 3
to the lord thy god  ^ 3
place which  ^ 3
of the law which  ^ 3
or unto  ^ 3
even that man  ^ 3
and the man that  ^ 3
when thou art come  ^ 3
that way  ^ 3
law in  ^ 3
woman that  ^ 3
of heaven which  ^ 3
which i have not  ^ 3
i have not commanded  ^ 3
and served other  ^ 3
wicked thing  ^ 3
woman which  ^ 3
doth drive them out from before  ^ 3
all that do  ^ 3
are an abomination unto the lord  ^ 3
of these abominations  ^ 3
and it shall come to pass that whosoever  ^ 3
will not hearken  ^ 3
my words which  ^ 3
no inheritance  ^ 3
shall be the priests  ^ 3
whose land  ^ 3
of these cities  ^ 3
shall not pity  ^ 3
eye for eye  ^ 3
for eye tooth  ^ 3
tooth for tooth  ^ 3
one of those  ^ 3
with his neighbor  ^ 3
and give thee  ^ 3
a people great  ^ 3
the brook zered  ^ 3
them not nor  ^ 3
unto sihon  ^ 3
as the children  ^ 3
the children of esau  ^ 3
unto me behold  ^ 3
our god delivered  ^ 3
saying ye  ^ 3
these forty  ^ 3
against thine enemies  ^ 3
thus shalt thou do  ^ 3
the canaanites and the perizzites  ^ 3
for the tree  ^ 3
that maketh  ^ 3
lest he die  ^ 3
he die in the battle  ^ 3
in the battle and another  ^ 3
man is there that  ^ 3
and return unto his house  ^ 3
unto his house lest  ^ 3
man is he that  ^ 3
a man have  ^ 3
that which he hath  ^ 3
and they shall say unto  ^ 3
shall stone him with stones  ^ 3
be not defiled  ^ 3
blood neither  ^ 3
ox or  ^ 3
the elders of the city  ^ 3
and the damsels father  ^ 3
folly in israel  ^ 3
in her fathers house  ^ 3
that lay with  ^ 3
with the woman  ^ 3
with a woman  ^ 3
and lie with  ^ 3
unto the gate  ^ 3
only that  ^ 3
fifty shekels of silver  ^ 3
shall not enter  ^ 3
thing if  ^ 3
of any thing  ^ 3
that thou settest thine hand  ^ 3
it shall be no  ^ 3
of the lord forever  ^ 3
thou shalt not go  ^ 3
and if the man  ^ 3
nor take  ^ 3
for the stranger for the fatherless  ^ 3
for the fatherless and for the widow  ^ 3
may not  ^ 3
and they come unto  ^ 3
thou shalt not have  ^ 3
not to take  ^ 3
of the land which  ^ 3
good thing which  ^ 3
thing which the lord  ^ 3
the fatherless and the widow  ^ 3
thy commandments which  ^ 3
that i am come  ^ 3
arm and with great  ^ 3
of israel commanded  ^ 3
dan and naphtali  ^ 3
shall answer and say  ^ 3
unto thy fathers to give  ^ 3
if thou wilt not  ^ 3
and the fruit of thy land  ^ 3
the increase of thy kine  ^ 3
of thy kine and the flocks  ^ 3
and the flocks of thy sheep  ^ 3
of the earth and all  ^ 3
the lord shall send  ^ 3
into all the kingdoms  ^ 3
the lord will smite  ^ 3
which thou shalt see  ^ 3
nations whither  ^ 3
until he have destroyed  ^ 3
from the end of the earth  ^ 3
wherewith thine enemies  ^ 3
to possess and the lord  ^ 3
these are the words  ^ 3
with all the men  ^ 3
with the lord thy god  ^ 3
unto thy fathers to abraham  ^ 3
that he may establish  ^ 3
though i walk  ^ 3
the lord did  ^ 3
man and all  ^ 3
the lord will  ^ 3
will not  ^ 3
of that land  ^ 3
whom they knew  ^ 3
years in the wilderness  ^ 3
the cities of the plain  ^ 3
and all bashan  ^ 3
bashan unto  ^ 3
and this land  ^ 3
all the region  ^ 3
even unto the river  ^ 3
even unto the sea  ^ 3
of the plain even the salt  ^ 3
even the salt sea  ^ 3
armed before  ^ 3
hath given you  ^ 3
dwelt at heshbon  ^ 3
for i will deliver  ^ 3
every man unto his possession  ^ 3
hand for  ^ 3
is beyond jordan  ^ 3
go over this  ^ 3
over against bethpeor  ^ 3
of bashan and all  ^ 3
the kingdom of og  ^ 3
women and children  ^ 3
things are come  ^ 3
are come upon  ^ 3
gods and serve  ^ 3
which thy fathers  ^ 3
rejoice over  ^ 3
and moses went  ^ 3
and moses commanded  ^ 3
to appear before  ^ 3
jordan to possess  ^ 3
in a pillar of a cloud  ^ 3
the evils which  ^ 3
for it shall not  ^ 3
of israel into  ^ 3
and of a good courage for  ^ 3
ye have been rebellious  ^ 3
rebellious against  ^ 3
thy god he  ^ 3
in the ears of all  ^ 3
people unto  ^ 3
neither be dismayed  ^ 3
and moses wrote  ^ 3
upon the grass  ^ 3
the lord shall judge  ^ 3
shall judge his people  ^ 3
even i am he  ^ 3
and moses came  ^ 3
of speaking all  ^ 3
thing for  ^ 3
get thee up into  ^ 3
unto thy people  ^ 3
in the midst of the children  ^ 3
in the wilderness of zin  ^ 3
of god blessed  ^ 3
the work of his hands  ^ 3
and the tribes of israel  ^ 3
be few  ^ 3
of gilead unto  ^ 3
to the top of pisgah  ^ 3
and to all his servants  ^ 3
is the land which  ^ 3
of the lord died  ^ 3
died there  ^ 3
but no man  ^ 3
moses in the plains  ^ 3
burned with fire  ^ 3
or female  ^ 3
the likeness of any  ^ 3
whereunto ye  ^ 3
have seen what  ^ 3
created man  ^ 3
man upon  ^ 3
ask now  ^ 3
the earth beneath  ^ 3
thine heart that  ^ 3
jordan toward the sunrising  ^ 3
which were on this side  ^ 3
me and keep my commandments  ^ 3
it as the lord  ^ 3
but the seventh day  ^ 3
day is the sabbath  ^ 3
is the sabbath of the lord  ^ 3
do any  ^ 3
false witness  ^ 3
thy neighbors wife  ^ 3
wife neither  ^ 3
hath heard the voice  ^ 3
thou unto  ^ 3
your days in the land  ^ 3
the third and fourth  ^ 3
ye shall not go  ^ 3
is a jealous god  ^ 3
tempt the lord  ^ 3
that it may be well  ^ 3
and these words  ^ 3
between thine eyes  ^ 3
shall bring thee into  ^ 3
thy god shall deliver  ^ 3
those nations  ^ 3
is an abomination to the lord  ^ 3
thou shalt not give  ^ 3
with fire for  ^ 3
for the good  ^ 3
there was no water  ^ 3
and walk after  ^ 3
by bread  ^ 3
at the end of forty  ^ 3
which thou hast brought forth  ^ 3
it is a stiffnecked  ^ 3
is a stiffnecked people  ^ 3
quickly out of  ^ 3
and i looked and behold  ^ 3
wherewith the lord  ^ 3
can stand before  ^ 3
for aaron  ^ 3
the calf which  ^ 3
nor hearkened  ^ 3
which thou hast redeemed  ^ 3
destroy not  ^ 3
lest the land  ^ 3
not how  ^ 3
there is no remembrance  ^ 3
are done under  ^ 3
concerning all  ^ 3
have been before  ^ 3
saying lo  ^ 3
to know wisdom  ^ 3
vanity of vanities  ^ 3
saith the preacher  ^ 3
he knoweth not  ^ 3
which i have seen under  ^ 3
come not  ^ 3
the words of the wise  ^ 3
shall return unto  ^ 3
taught the people  ^ 3
and behold this  ^ 3
said in mine heart  ^ 3
go to now  ^ 3
to them all  ^ 3
walketh in darkness  ^ 3
and who knoweth  ^ 3
all the labor  ^ 3
also i  ^ 3
than for  ^ 3
under the heaven  ^ 3
great possessions  ^ 3
the good of all  ^ 3
i saw under  ^ 3
one place  ^ 3
place all  ^ 3
that goeth  ^ 3
all the living  ^ 3
that they do  ^ 3
i have seen  ^ 3
for he shall not  ^ 3
fear thou  ^ 3
this wisdom  ^ 3
that doeth  ^ 3
surely i  ^ 3
for he knoweth  ^ 3
wisdom is better  ^ 3
to him that  ^ 3
for the living  ^ 3
which are at  ^ 3
that we should be  ^ 3
in the knowledge  ^ 3
of him the  ^ 3
and set  ^ 3
dominion and  ^ 3
far above all  ^ 3
in heavenly  ^ 3
grace wherein  ^ 3
beloved in  ^ 3
works which  ^ 3
jesus unto  ^ 3
remember that  ^ 3
rich in  ^ 3
of works  ^ 3
all saints  ^ 3
breadth and  ^ 3
unto the sons  ^ 3
heart who  ^ 3
one another in  ^ 3
the truth is  ^ 3
no more but  ^ 3
through all  ^ 3
is above all  ^ 3
gave himself  ^ 3
love your  ^ 3
it that  ^ 3
shall be one  ^ 3
for this cause shall a man  ^ 3
cometh the  ^ 3
with them for  ^ 3
is right  ^ 3
power of his  ^ 3
with thee and  ^ 3
from the heart  ^ 3
heaven neither  ^ 3
the same things  ^ 3
of persia and media  ^ 3
the princes and to  ^ 3
the provinces of the king  ^ 3
king ahasuerus  ^ 3
the kings provinces  ^ 3
a feast unto all  ^ 3
for mordecai  ^ 3
mordecai the jew  ^ 3
unto king ahasuerus  ^ 3
to the custody  ^ 3
the kings chamberlain  ^ 3
in the kings gate  ^ 3
young virgins  ^ 3
to lay hand  ^ 3
in all the provinces  ^ 3
and he did so  ^ 3
of babylon had carried away  ^ 3
house to  ^ 3
on the thirteenth day  ^ 3
and old  ^ 3
against that day  ^ 3
and the decree was given  ^ 3
month that  ^ 3
that is  the month  ^ 3
into the inner  ^ 3
the golden scepter  ^ 3
to come in unto  ^ 3
the jews for  ^ 3
that esther  ^ 3
even before  ^ 3
for none  ^ 3
went forth to  ^ 3
was given at shushan  ^ 3
in the inner court  ^ 3
for his friends  ^ 3
of fifty cubits  ^ 3
the half of the kingdom  ^ 3
said unto esther  ^ 3
every thing that  ^ 3
written that  ^ 3
on the gallows  ^ 3
the house of haman  ^ 3
all the power  ^ 3
against the jews  ^ 3
which are in all  ^ 3
for how  ^ 3
on the fourteenth day  ^ 3
seventy and five  ^ 3
jews that  ^ 3
smote all  ^ 3
which came into egypt  ^ 3
have ye done this  ^ 3
be so  ^ 3
moses stretch out  ^ 3
stretch out thine hand  ^ 3
thine hand over  ^ 3
of the land and all  ^ 3
called for moses  ^ 3
of egypt but the lord  ^ 3
hardened pharaohs  ^ 3
let the children  ^ 3
darkness over  ^ 3
his hand toward  ^ 3
also go  ^ 3
the lord until  ^ 3
shall go with  ^ 3
and he would not  ^ 3
else if  ^ 3
go behold  ^ 3
and the lord hardened  ^ 3
in the sight of the egyptians  ^ 3
that sitteth upon  ^ 3
of it until  ^ 3
it until the morning  ^ 3
by an ordinance forever  ^ 3
whosoever eateth  ^ 3
for in this  ^ 3
of the month at even  ^ 3
even that soul  ^ 3
called for all  ^ 3
the blood that  ^ 3
the lord will give  ^ 3
had commanded moses  ^ 3
did and it came to pass  ^ 3
that sat on  ^ 3
stranger eat  ^ 3
this is the ordinance  ^ 3
one law  ^ 3
all that openeth  ^ 3
of hand the lord  ^ 3
when pharaoh  ^ 3
out of the house of bondage  ^ 3
remember this  ^ 3
of the canaanites and the hittites  ^ 3
and the hittites and the amorites  ^ 3
with a strong hand  ^ 3
the people and the lord  ^ 3
saying let us alone  ^ 3
forever the lord  ^ 3
and the egyptians shall know  ^ 3
but the children of israel  ^ 3
israel go  ^ 3
and the heart of pharaoh  ^ 3
hundred chosen  ^ 3
i will sing unto the lord  ^ 3
shall fall upon  ^ 3
the lord is my strength  ^ 3
as a stone  ^ 3
which is between  ^ 3
the murmurings of the children  ^ 3
your god and it came to pass  ^ 3
of israel murmured  ^ 3
that the lord hath given  ^ 3
of the lord in the land  ^ 3
and the house of israel  ^ 3
that they may see  ^ 3
until they came  ^ 3
unto the borders  ^ 3
of the land of canaan  ^ 3
or no  ^ 3
bread from  ^ 3
ye murmur against  ^ 3
against and moses  ^ 3
and there was no water  ^ 3
went up to the top  ^ 3
an altar and called  ^ 3
the lord and the people  ^ 3
and moses cried  ^ 3
god and it came to pass  ^ 3
that he had said  ^ 3
and her two sons  ^ 3
moses go  ^ 3
went down from  ^ 3
the people out of  ^ 3
the top of the mount  ^ 3
went down unto  ^ 3
unto him out of  ^ 3
now therefore if  ^ 3
are the words which  ^ 3
and moses returned  ^ 3
and the child grew  ^ 3
and dwelt in the land  ^ 3
by a well  ^ 3
he said how  ^ 3
with isaac  ^ 3
and god remembered  ^ 3
spoke all  ^ 3
commit adultery thou shalt not  ^ 3
thou shalt not steal  ^ 3
and when the people saw  ^ 3
moses speak  ^ 3
ye shall not make  ^ 3
neither shall ye make  ^ 3
under the earth  ^ 3
remember the  ^ 3
without money  ^ 3
eye for  ^ 3
with if  ^ 3
sheep for  ^ 3
an ox or  ^ 3
or a sheep  ^ 3
lieth with  ^ 3
and ye shall be holy  ^ 3
shall appear before  ^ 3
tarry ye here  ^ 3
unto and moses  ^ 3
day he called  ^ 3
of the glory of the lord  ^ 3
unto the lord and moses  ^ 3
in the audience of the people  ^ 3
the breadth thereof and a cubit  ^ 3
and thou shalt overlay it with pure  ^ 3
rings in  ^ 3
staves of shittim  ^ 3
and overlay them with gold  ^ 3
the staves into the rings  ^ 3
one cherub  ^ 3
that i shall give  ^ 3
upon the ark  ^ 3
thereof and a cubit the breadth  ^ 3
for it four rings  ^ 3
of gold and put  ^ 3
to bear the table  ^ 3
his knops and his flowers  ^ 3
bowls made like almonds  ^ 3
of the candlestick  ^ 3
and fine linen and goats  ^ 3
and badgers skins  ^ 3
stones and stones  ^ 3
and stones to be set  ^ 3
of fine twined linen and blue  ^ 3
and thou shalt make fifty  ^ 3
of rams skins  ^ 3
boards for the tabernacle  ^ 3
the boards of the tabernacle  ^ 3
twenty boards  ^ 3
curtain four  ^ 3
and the breadth of one  ^ 3
board and two  ^ 3
of the one side  ^ 3
pillars of shittim  ^ 3
the table on  ^ 3
side eastward  ^ 3
their pillars three  ^ 3
thy brother and his sons  ^ 3
and his sons with  ^ 3
with the names  ^ 3
like the engravings of a signet  ^ 3
and aaron shall bear  ^ 3
ouches of gold  ^ 3
at the ends of wreathen  ^ 3
of wreathen work  ^ 3
and of purple and of scarlet  ^ 3
with cunning work  ^ 3
holy garments  ^ 3
every one with  ^ 3
upon the breastplate  ^ 3
them on the two  ^ 3
of woven work  ^ 3
the hem of the robe  ^ 3
that he die not  ^ 3
holiness to the lord  ^ 3
upon the miter  ^ 3
the miter upon  ^ 3
aaron and upon  ^ 3
bullock and two  ^ 3
and two rams  ^ 3
the head of the bullock  ^ 3
and his sons shall put  ^ 3
the bullock before  ^ 3
and thou shalt take of the blood  ^ 3
of the blood of the bullock  ^ 3
with fire without  ^ 3
and his sons garments  ^ 3
garments with  ^ 3
is upon the altar  ^ 3
and sprinkle it upon  ^ 3
above the liver and the two  ^ 3
and the fat that covereth  ^ 3
the lord and it shall be  ^ 3
it for a wave offering before  ^ 3
aarons and his sons  ^ 3
by a statute forever  ^ 3
two lambs  ^ 3
lamb thou shalt offer  ^ 3
with the fourth part of a hin  ^ 3
among them i  ^ 3
to the mountain  ^ 3
i will be with  ^ 3
of abraham the god  ^ 3
of isaac and the god  ^ 3
and the god of jacob  ^ 3
a land flowing  ^ 3
and it shall come to pass that when  ^ 3
whereon thou  ^ 3
thou standest  ^ 3
upon god  ^ 3
land unto  ^ 3
upon the horns  ^ 3
is twenty gerahs  ^ 3
the lord to make an atonement  ^ 3
that they die not  ^ 3
a statute forever  ^ 3
shekels  after the shekel of the sanctuary  ^ 3
anointing oil  ^ 3
moses take  ^ 3
for the staves to bear  ^ 3
the mercy seat that  ^ 3
for aaron the priest  ^ 3
doeth any work  ^ 3
holy to the lord  ^ 3
of hur of the tribe  ^ 3
of ahisamach of the tribe  ^ 3
the people gathered themselves together  ^ 3
gathered themselves together unto  ^ 3
us for as for this  ^ 3
of thee a great nation  ^ 3
lord why  ^ 3
from gate to gate  ^ 3
about three thousand  ^ 3
that moses said  ^ 3
unto the place of which  ^ 3
the people because  ^ 3
unto thy seed will i give  ^ 3
and the hittite and the perizzite  ^ 3
from the camp  ^ 3
with the inhabitants of the land  ^ 3
of wheat harvest  ^ 3
of these words  ^ 3
and he was there  ^ 3
had done speaking  ^ 3
in thy sight o lord  ^ 3
and the sweet incense  ^ 3
and the hanging for the door  ^ 3
the laver and his foot  ^ 3
the pins of the tabernacle  ^ 3
