Phrase ^ Count
saith the lord  ^ 731
my son my son  ^ 3
the heaven and the earth  ^ 3
now therefore why  ^ 3
to meet the king  ^ 3
to jordan  ^ 3
doth know that  ^ 3
i have sinned  ^ 3
i am this day  ^ 3
men before  ^ 3
good and evil  ^ 3
of israel and behold  ^ 3
should not be  ^ 3
this day then  ^ 3
by the way of the wilderness  ^ 3
called to  ^ 3
and he blew a trumpet  ^ 3
after sheba  ^ 3
him when he saw  ^ 3
to pursue after  ^ 3
so but  ^ 3
take thou  ^ 3
the bones of saul  ^ 3
of jonathan the son  ^ 3
of barley harvest  ^ 3
upon the wings  ^ 3
the wings of the wind  ^ 3
but the lord was  ^ 3
and he said the lord  ^ 3
me according to my righteousness according to the cleanness  ^ 3
according to the cleanness of my hands  ^ 3
for i have kept  ^ 3
the ways of the lord  ^ 3
of the lord and have not  ^ 3
my feet like hinds  ^ 3
my hands to war  ^ 3
the people under  ^ 3
of death compassed  ^ 3
i called upon the lord  ^ 3
of david the son  ^ 3
of israel spoke  ^ 3
before thine enemies  ^ 3
even to the time  ^ 3
repented him of  ^ 3
and said lo  ^ 3
day to  ^ 3
and araunah said  ^ 3
and the plague was stayed  ^ 3
the house of saul  ^ 3
and the house of david  ^ 3
require of  ^ 3
my face except  ^ 3
of all their enemies  ^ 3
and twenty men  ^ 3
this day unto  ^ 3
the head of ishbosheth  ^ 3
of god whose  ^ 3
no child  ^ 3
when the king  ^ 3
forever before  ^ 3
the lord and he said  ^ 3
more unto  ^ 3
be true  ^ 3
of israel out of egypt  ^ 3
israel saying  ^ 3
and vessels of brass  ^ 3
he did eat  ^ 3
him according  ^ 3
us when  ^ 3
angels in  ^ 3
the presence of the  ^ 3
you to  ^ 3
salvation through  ^ 3
nor by  ^ 3
god remember  ^ 3
time for  ^ 3
bread but  ^ 3
not our  ^ 3
from every  ^ 3
of life which  ^ 3
of god according  ^ 3
thou knowest that  ^ 3
are in asia  ^ 3
when he was in  ^ 3
the lord in  ^ 3
thee in  ^ 3
whom i serve  ^ 3
faith that  ^ 3
is in thee  ^ 3
of power and  ^ 3
of the testimony  ^ 3
saying for  ^ 3
ungodliness and  ^ 3
already and  ^ 3
among many  ^ 3
from these  ^ 3
peace with  ^ 3
to my gospel  ^ 3
christ of  ^ 3
know also  ^ 3
all good  ^ 3
resist the  ^ 3
the books  ^ 3
at my  ^ 3
out of the mouth  ^ 3
and aquila  ^ 3
after their own  ^ 3
sound doctrine  ^ 3
lord the  ^ 3
not wherefore  ^ 3
no greater  ^ 3
jesus began  ^ 3
the former  ^ 3
sight and  ^ 3
and while  ^ 3
and matthew  ^ 3
mother of jesus  ^ 3
in the midst and  ^ 3
that field  ^ 3
desolate and  ^ 3
and out  ^ 3
all the time  ^ 3
beginning from  ^ 3
whether of  ^ 3
ministry and  ^ 3
and he was numbered  ^ 3
lots and  ^ 3
to whom also  ^ 3
promise of the  ^ 3
both in  ^ 3
and creeping things  ^ 3
wild beasts and  ^ 3
air and  ^ 3
and eat  ^ 3
there came a voice  ^ 3
or unclean  ^ 3
heaven now  ^ 3
one that feareth god  ^ 3
the nation  ^ 3
thee into  ^ 3
a just man  ^ 3
peter was  ^ 3
them ye  ^ 3
in a vision  ^ 3
this hour  ^ 3
and at the  ^ 3
four days  ^ 3
thine alms  ^ 3
thee of  ^ 3
jesus of  ^ 3
of nazareth  ^ 3
of all things which  ^ 3
unto him thy  ^ 3
prayers and  ^ 3
for a memorial  ^ 3
remission of sins  ^ 3
gift of the  ^ 3
that on the  ^ 3
them speak  ^ 3
what thou  ^ 3
with one  ^ 3
received the  ^ 3
that were in  ^ 3
sent from  ^ 3
began to speak  ^ 3
to speak the  ^ 3
of the lord how  ^ 3
what was  ^ 3
then hath  ^ 3
cyprus and  ^ 3
which was in  ^ 3
full of the holy  ^ 3
in antioch  ^ 3
he brought him  ^ 3
prophets from  ^ 3
be great  ^ 3
caesar then  ^ 3
a voice saying  ^ 3
for nothing  ^ 3
the first and  ^ 3
and the second  ^ 3
to himself  ^ 3
whose surname was mark  ^ 3
of mary the  ^ 3
they were astonished  ^ 3
and he departed  ^ 3
with the hand  ^ 3
declared unto them  ^ 3
the keepers  ^ 3
of unleavened bread and  ^ 3
him in prison  ^ 3
peter therefore  ^ 3
chains and  ^ 3
behold the angel  ^ 3
of the lord came upon  ^ 3
his hands and  ^ 3
full of all  ^ 3
doctrine of the  ^ 3
said men  ^ 3
that he gave  ^ 3
david the  ^ 3
all my  ^ 3
the baptism of repentance  ^ 3
whose shoes  ^ 3
cause of death  ^ 3
this day have i  ^ 3
begotten thee  ^ 3
to see corruption  ^ 3
he saith also  ^ 3
his fathers  ^ 3
and from thence  ^ 3
so they  ^ 3
though a man  ^ 3
when the jews  ^ 3
as many as were  ^ 3
their coasts  ^ 3
the dust  ^ 3
the isle  ^ 3
thy feet  ^ 3
walked and  ^ 3
people saw  ^ 3
and they called  ^ 3
their city  ^ 3
confirming the  ^ 3
work which  ^ 3
god had done  ^ 3
word of his  ^ 3
by their  ^ 3
lord which  ^ 3
taught the  ^ 3
gentiles by  ^ 3
words of the  ^ 3
among the gentiles  ^ 3
and from blood  ^ 3
and from fornication  ^ 3
and cilicia  ^ 3
than these  ^ 3
and samaria  ^ 3
brethren unto  ^ 3
and preaching  ^ 3
lord with  ^ 3
of moses and  ^ 3
a certain disciple  ^ 3
of paul  ^ 3
most high god  ^ 3
of salvation and  ^ 3
turned and  ^ 3
out of her  ^ 3
brought them  ^ 3
romans and  ^ 3
the magistrates  ^ 3
the prisoners  ^ 3
the keeper of the prison  ^ 3
and said sirs  ^ 3
be saved and  ^ 3
to all that  ^ 3
and they spake  ^ 3
when it was day  ^ 3
paul the  ^ 3
prayed him  ^ 3
by night  ^ 3
night unto  ^ 3
word with  ^ 3
not a few  ^ 3
and receiving  ^ 3
when he saw the  ^ 3
thou speakest  ^ 3
therefore what  ^ 3
to our  ^ 3
and strangers  ^ 3
lord of heaven  ^ 3
face of the  ^ 3
silver or  ^ 3
judge the  ^ 3
and when they found  ^ 3
jason and  ^ 3
contrary to the  ^ 3
people in  ^ 3
and six  ^ 3
your law  ^ 3
into syria  ^ 3
of the brethren  ^ 3
a certain jew  ^ 3
and saluted  ^ 3
mighty in  ^ 3
of john and  ^ 3
to the jews  ^ 3
and blasphemed  ^ 3
into a certain  ^ 3
and were baptized  ^ 3
then spake  ^ 3
spake the  ^ 3
heard the  ^ 3
evil spirits  ^ 3
jesus saying  ^ 3
whom paul  ^ 3
fear fell  ^ 3
was known  ^ 3
jerusalem saying  ^ 3
ye see and  ^ 3
hear that  ^ 3
temple of the  ^ 3
whom all  ^ 3
and cried out  ^ 3
whole city  ^ 3
people the  ^ 3
he departed from  ^ 3
daily in  ^ 3
and believed not  ^ 3
with one accord in  ^ 3
saying one to another  ^ 3
to my words  ^ 3
words for  ^ 3
and fire  ^ 3
signs in  ^ 3
where they were  ^ 3
name of the lord  ^ 3
ye men of israel  ^ 3
because it was  ^ 3
before my face  ^ 3
rejoice and  ^ 3
sitting and  ^ 3
there appeared unto them  ^ 3
his throne  ^ 3
neither his  ^ 3
whereof we  ^ 3
ye now  ^ 3
said unto my  ^ 3
until i make  ^ 3
and with many  ^ 3
souls and  ^ 3
of bread and  ^ 3
together and  ^ 3
out of every  ^ 3
under heaven  ^ 3
and marveled  ^ 3
and talked  ^ 3
he would  ^ 3
i came into  ^ 3
at all seasons  ^ 3
they were come to  ^ 3
tears and  ^ 3
parts and  ^ 3
of all for  ^ 3
the counsel  ^ 3
take heed therefore  ^ 3
blood for  ^ 3
with tears  ^ 3
and to give  ^ 3
to give you  ^ 3
weak and  ^ 3
five days  ^ 3
and fell down  ^ 3
and when he was come  ^ 3
bind the  ^ 3
and shall deliver  ^ 3
jerusalem then  ^ 3
heart for  ^ 3
be done and  ^ 3
received us  ^ 3
gladly and  ^ 3
they are all  ^ 3
the jews which  ^ 3
therefore this  ^ 3
concerning thee  ^ 3
next day  ^ 3
laid hands  ^ 3
also into  ^ 3
there the  ^ 3
soldiers and  ^ 3
the certainty  ^ 3
thee who  ^ 3
who said  ^ 3
thou that  ^ 3
suffer me  ^ 3
hebrew tongue  ^ 3
the shore  ^ 3
unto caesarea  ^ 3
and i said  ^ 3
thou hast seen and  ^ 3
concerning me  ^ 3
unto his death  ^ 3
the air  ^ 3
that he might know  ^ 3
commanded him  ^ 3
tell me  ^ 3
their council  ^ 3
letters unto  ^ 3
to damascus  ^ 3
bound unto  ^ 3
saul saul  ^ 3
why persecutest  ^ 3
persecutest thou me  ^ 3
thou me and  ^ 3
am jesus  ^ 3
thou persecutest  ^ 3
art thou lord  ^ 3
thou lord and  ^ 3
and were  ^ 3
fearing lest  ^ 3
therefore ye  ^ 3
this young man  ^ 3
him so  ^ 3
the prisoner  ^ 3
unto thee then  ^ 3
no man that  ^ 3
how that the  ^ 3
the sadducees  ^ 3
there arose a great  ^ 3
understand that  ^ 3
with any man  ^ 3
neither in  ^ 3
now after  ^ 3
after many  ^ 3
after certain  ^ 3
to die but  ^ 3
and bernice  ^ 3
man to  ^ 3
it is  ^ 3
of their own  ^ 3
then agrippa  ^ 3
agrippa said  ^ 3
hear the  ^ 3
nothing worthy  ^ 3
was come the  ^ 3
the hand  ^ 3
with authority  ^ 3
stand upon  ^ 3
and from the  ^ 3
inheritance among  ^ 3
coasts of judea  ^ 3
unto them of  ^ 3
governor and  ^ 3
man might  ^ 3
god unto  ^ 3
of the promise  ^ 3
the boat  ^ 3
of the ship  ^ 3
and whom  ^ 3
sidon and  ^ 3
and let  ^ 3
to eat then  ^ 3
if it were possible  ^ 3
it was day  ^ 3
land but  ^ 3
to the wind  ^ 3
shore and  ^ 3
cilicia and  ^ 3
was now  ^ 3
they knew that  ^ 3
rain and  ^ 3
out of judea  ^ 3
him we  ^ 3
them concerning  ^ 3
understand and  ^ 3
with their heart and  ^ 3
and i should heal  ^ 3
i should heal them  ^ 3
when he had said  ^ 3
and received  ^ 3
and teaching  ^ 3
they said among  ^ 3
gate of the  ^ 3
the porch  ^ 3
and desired  ^ 3
unto you of  ^ 3
your brethren  ^ 3
me him  ^ 3
which will not  ^ 3
god made  ^ 3
abraham and  ^ 3
and in thy  ^ 3
are the children  ^ 3
the children of the  ^ 3
none but  ^ 3
rise up and  ^ 3
walk and  ^ 3
immediately his  ^ 3
and praising  ^ 3
him walking  ^ 3
the priests  ^ 3
of the council  ^ 3
this name  ^ 3
whether it be  ^ 3
and preached  ^ 3
and the people  ^ 3
that with all  ^ 3
hand to  ^ 3
neither said  ^ 3
apostles feet  ^ 3
the money  ^ 3
named ananias  ^ 3
the young men  ^ 3
great fear  ^ 3
streets and  ^ 3
people then  ^ 3
for they feared  ^ 3
the officers  ^ 3
you that ye should not  ^ 3
one in  ^ 3
in thine  ^ 3
and to him  ^ 3
to teach and  ^ 3
it was about  ^ 3
thy husband  ^ 3
how is it that  ^ 3
words against  ^ 3
false witnesses  ^ 3
law for  ^ 3
twelve called  ^ 3
called the  ^ 3
great wonders  ^ 3
then there arose  ^ 3
delivered him  ^ 3
and died  ^ 3
that abraham  ^ 3
abraham bought  ^ 3
time of the  ^ 3
kindred and  ^ 3
now come  ^ 3
the bush  ^ 3
and dwelt in  ^ 3
as for this moses  ^ 3
what is become  ^ 3
for the god  ^ 3
to his seed  ^ 3
and he gave  ^ 3
none inheritance  ^ 3
inheritance in  ^ 3
my hand  ^ 3
as your  ^ 3
uncircumcised in heart  ^ 3
of whom ye  ^ 3
and murderers  ^ 3
and ran  ^ 3
cast him out  ^ 3
god spake  ^ 3
and when he had said  ^ 3
when he had said this  ^ 3
lay not  ^ 3
serve me  ^ 3
except the  ^ 3
saying this man  ^ 3
the miracles  ^ 3
then simon  ^ 3
that none  ^ 3
isaiah and  ^ 3
was this  ^ 3
mouth in  ^ 3
as they went  ^ 3
unto the high priest  ^ 3
at damascus  ^ 3
the street  ^ 3
straight and  ^ 3
a man named  ^ 3
must suffer  ^ 3
said is  ^ 3
days were fulfilled  ^ 3
and they watched  ^ 3
of good works  ^ 3
him two  ^ 3
was nigh to  ^ 3
them when  ^ 3
and when he had called  ^ 3
eyes were opened  ^ 3
israel in the days  ^ 3
who was  ^ 3
which he saw  ^ 3
he saw concerning  ^ 3
and his princes together  ^ 3
and utter his voice  ^ 3
not to do  ^ 3
shall the children of israel  ^ 3
god the god  ^ 3
of israel upon  ^ 3
and the lord hath not  ^ 3
hath not done  ^ 3
surely the lord  ^ 3
overthrew sodom  ^ 3
that ye may live  ^ 3
that the lord god  ^ 3
saith thus  ^ 3
in the wilderness forty  ^ 3
the lord is his name  ^ 3
of the name of the lord  ^ 3
the excellency of jacob  ^ 3
god showed  ^ 3
showed unto me and behold  ^ 3
and thy sons and thy daughters  ^ 3
god called  ^ 3
in the midst of my people  ^ 3
i will not again  ^ 3
them  and they shall plant vineyards  ^ 3
gardens and eat  ^ 3
the captivity of my people  ^ 3
and all that dwell  ^ 3
whom we have  ^ 3
him all things  ^ 3
whereof i  ^ 3
to whom god  ^ 3
riches of the  ^ 3
whom we  ^ 3
truth of the  ^ 3
knew the  ^ 3
the spirit for  ^ 3
of his will  ^ 3
and spiritual  ^ 3
him which  ^ 3
faith of the  ^ 3
the uncircumcision  ^ 3
was contrary  ^ 3
which all  ^ 3
not which  ^ 3
fullness of the  ^ 3
where christ  ^ 3
nor uncircumcision  ^ 3
when christ  ^ 3
therefore your  ^ 3
children of disobedience  ^ 3
old man  ^ 3
you always  ^ 3
it the  ^ 3
minister and  ^ 3
of the reign of jehoiakim  ^ 3
hananiah mishael  ^ 3
of the days that  ^ 3
communed with  ^ 3
that he would not  ^ 3
daniel for  ^ 3
days for  ^ 3
and spoke and said  ^ 3
i daniel  ^ 3
these things but  ^ 3
i will show thee  ^ 3
clothed in linen  ^ 3
on my face  ^ 3
and the king of the south  ^ 3
with a great army  ^ 3
devices against  ^ 3
the holy covenant  ^ 3
the time of the end  ^ 3
with gold and silver  ^ 3
shall not escape  ^ 3
of gold and of silver  ^ 3
into his own land  ^ 3
and ninety days  ^ 3
and behold there stood  ^ 3
other two  ^ 3
the earth that  ^ 3
that can  ^ 3
that daniel  ^ 3
should not perish  ^ 3
this secret  ^ 3
for wisdom  ^ 3
be the name  ^ 3
of judah  ^ 3
the interpretation the king  ^ 3
name was belteshazzar  ^ 3
what shall be  ^ 3
thou o king  ^ 3
of brass  ^ 3
and the fowls of the heaven  ^ 3
these kings  ^ 3
the king nebuchadnezzar  ^ 3
into the midst of a burning  ^ 3
of a burning fiery  ^ 3
worship the golden  ^ 3
image which  ^ 3
then nebuchadnezzar  ^ 3
which i have made  ^ 3
the rulers of the provinces  ^ 3
the king had set up  ^ 3
of the burning fiery  ^ 3
those men  ^ 3
they answered and said  ^ 3
and said unto the king  ^ 3
any god  ^ 3
because there is  ^ 3
no other  ^ 3
fell down and worshiped  ^ 3
that dwell  ^ 3
the most high ruleth  ^ 3
ruleth in the kingdom  ^ 3
of men and giveth  ^ 3
and giveth it to whomsoever  ^ 3
it to whomsoever he will  ^ 3
this is the interpretation  ^ 3
grass as oxen  ^ 3
and seven times  ^ 3
how great  ^ 3
is an everlasting kingdom  ^ 3
i nebuchadnezzar  ^ 3
of the earth and none  ^ 3
not show  ^ 3
if thou canst  ^ 3
gold about  ^ 3
and whom he would  ^ 3
and silver vessels  ^ 3
in whose hand  ^ 3
about his neck  ^ 3
of the wall  ^ 3
toward jerusalem  ^ 3
of the medes and persians  ^ 3
regardeth not  ^ 3
when he heard  ^ 3
the princes  ^ 3
great beasts  ^ 3
with the saints  ^ 3
came up from  ^ 3
i beheld and lo  ^ 3
the beasts that  ^ 3
of the first  ^ 3
and behold there came up  ^ 3
of man for  ^ 3
mine eyes and saw  ^ 3
not the ground  ^ 3
standing before  ^ 3
because we have sinned  ^ 3
all his works  ^ 3
and cause thy face to shine  ^ 3
to shine upon  ^ 3
we do not  ^ 3
open thine eyes  ^ 3
hear o lord  ^ 3
of heaven for multitude  ^ 3
you at that time  ^ 3
the land before  ^ 3
unto me every one  ^ 3
of the fruit of the land  ^ 3
to deliver us into the hand  ^ 3
on the first day of the month  ^ 3
until ye came  ^ 3
men of this  ^ 3
should be a prey  ^ 3
for i am not  ^ 3
the great river  ^ 3
time the lord  ^ 3
me at that time  ^ 3
unto their fathers to give  ^ 3
in the first  ^ 3
in the day of the assembly  ^ 3
hath no  ^ 3
your heart and with all  ^ 3
and with all your soul  ^ 3
unto your fathers to give  ^ 3
be able to stand before  ^ 3
i set  ^ 3
before you this day  ^ 3
ye have not known  ^ 3
mount gerizim  ^ 3
to go in to possess  ^ 3
opened her mouth  ^ 3
and abiram the sons  ^ 3
the sons of eliab  ^ 3
the son of reuben  ^ 3
and go in and possess  ^ 3
a land that floweth  ^ 3
these are the statutes  ^ 3
a place which  ^ 3
and your sons and your daughters  ^ 3
place that  ^ 3
thou and thy son  ^ 3
and thy son and thy daughter  ^ 3
and thy daughter and thy manservant  ^ 3
and thy manservant and thy maidservant  ^ 3
and thy maidservant and the levite  ^ 3
upon the high  ^ 3
it may go well with thee and with thy children  ^ 3
with thee and with thy children after  ^ 3
when thou doest  ^ 3
is right in his own eyes  ^ 3
more any  ^ 3
saying let us go  ^ 3
he hath sworn unto thy fathers  ^ 3
to the voice of the lord  ^ 3
to keep all  ^ 3
which thou hast not  ^ 3
thou hast not known  ^ 3
thou nor thy fathers  ^ 3
of the earth even unto  ^ 3
which are round about  ^ 3
your god ye shall not  ^ 3
and every creeping thing  ^ 3
thou art a holy  ^ 3
art a holy people  ^ 3
thou shalt not seethe  ^ 3
seethe a kid  ^ 3
a kid in his mothers  ^ 3
in his mothers milk  ^ 3
the same year  ^ 3
thy god may bless  ^ 3
may bless thee in all  ^ 3
and the fatherless and the widow  ^ 3
the earth thou shalt not  ^ 3
eat any  ^ 3
and every beast  ^ 3
shall bless thee in all  ^ 3
thee six years  ^ 3
and thou shalt remember that  ^ 3
of egypt and the lord  ^ 3
thy god to observe  ^ 3
to observe to do  ^ 3
the seventh year  ^ 3
that are among  ^ 3
neither take  ^ 3
shall choose to place  ^ 3
giveth thou shalt not  ^ 3
of egypt all  ^ 3
days thou shalt eat  ^ 3
place which  ^ 3
of the law which  ^ 3
or unto  ^ 3
even that man  ^ 3
and the man that  ^ 3
that way  ^ 3
law in  ^ 3
woman that  ^ 3
of heaven which  ^ 3
which i have not  ^ 3
i have not commanded  ^ 3
and served other  ^ 3
wicked thing  ^ 3
woman which  ^ 3
into the place  ^ 3
doth drive them out from before  ^ 3
all that do  ^ 3
are an abomination unto the lord  ^ 3
of these abominations  ^ 3
no inheritance  ^ 3
shall be the priests  ^ 3
whose land  ^ 3
shall not pity  ^ 3
in the land that  ^ 3
one of those  ^ 3
and give thee  ^ 3
a people great  ^ 3
the lord gave  ^ 3
the brook zered  ^ 3
them not nor  ^ 3
unto sihon  ^ 3
as the children  ^ 3
the children of esau  ^ 3
unto me behold  ^ 3
our god delivered  ^ 3
saying ye  ^ 3
these forty  ^ 3
against thine enemies  ^ 3
thus shalt thou do  ^ 3
the canaanites and the perizzites  ^ 3
that maketh  ^ 3
lest he die  ^ 3
he die in the battle  ^ 3
in the battle and another  ^ 3
and return unto his house  ^ 3
unto his house lest  ^ 3
man is he that  ^ 3
that which he hath  ^ 3
and they shall say unto  ^ 3
shall stone him with stones  ^ 3
be not defiled  ^ 3
blood neither  ^ 3
ox or  ^ 3
the elders of the city  ^ 3
and the damsels father  ^ 3
folly in israel  ^ 3
in her fathers house  ^ 3
with a woman  ^ 3
and lie with  ^ 3
unto the gate  ^ 3
only that  ^ 3
but if a man  ^ 3
shall not enter  ^ 3
thing if  ^ 3
of any thing  ^ 3
that thou settest thine hand  ^ 3
of the lord forever  ^ 3
thou shalt not go  ^ 3
and if the man  ^ 3
nor take  ^ 3
for the stranger for the fatherless  ^ 3
for the fatherless and for the widow  ^ 3
may not  ^ 3
thou shalt not have  ^ 3
not to take  ^ 3
of the land which  ^ 3
the fatherless and the widow  ^ 3
thy commandments which  ^ 3
that i am come  ^ 3
arm and with great  ^ 3
of israel commanded  ^ 3
dan and naphtali  ^ 3
shall answer and say  ^ 3
unto thy fathers to give  ^ 3
if thou wilt not  ^ 3
and the fruit of thy land  ^ 3
the increase of thy kine  ^ 3
of thy kine and the flocks  ^ 3
and the flocks of thy sheep  ^ 3
of the earth and all  ^ 3
the lord shall send  ^ 3
into all the kingdoms  ^ 3
the lord will smite  ^ 3
which thou shalt see  ^ 3
nations whither  ^ 3
until he have destroyed  ^ 3
from the end of the earth  ^ 3
wherewith thine enemies  ^ 3
to possess and the lord  ^ 3
with all the men  ^ 3
unto thy fathers to abraham  ^ 3
that he may establish  ^ 3
though i walk  ^ 3
the lord did  ^ 3
will not  ^ 3
of that land  ^ 3
whom they knew  ^ 3
years in the wilderness  ^ 3
the cities of the plain  ^ 3
and all bashan  ^ 3
bashan unto  ^ 3
and this land  ^ 3
even unto the river  ^ 3
even unto the sea  ^ 3
of the plain even the salt  ^ 3
even the salt sea  ^ 3
armed before  ^ 3
hath given you  ^ 3
dwelt at heshbon  ^ 3
hand for  ^ 3
is beyond jordan  ^ 3
go over this  ^ 3
over against bethpeor  ^ 3
of bashan and all  ^ 3
the kingdom of og  ^ 3
among all the nations  ^ 3
things are come  ^ 3
are come upon  ^ 3
gods and serve  ^ 3
which thy fathers  ^ 3
rejoice over  ^ 3
and moses went  ^ 3
and moses commanded  ^ 3
to appear before  ^ 3
jordan to possess  ^ 3
in a pillar of a cloud  ^ 3
the evils which  ^ 3
for it shall not  ^ 3
of israel into  ^ 3
and of a good courage for  ^ 3
and it came to pass when moses  ^ 3
ye have been rebellious  ^ 3
rebellious against  ^ 3
thy god he  ^ 3
in the ears of all  ^ 3
people unto  ^ 3
neither be dismayed  ^ 3
and moses wrote  ^ 3
upon the grass  ^ 3
the lord shall judge  ^ 3
even i am he  ^ 3
all his ways  ^ 3
and moses came  ^ 3
of speaking all  ^ 3
thing for  ^ 3
get thee up into  ^ 3
unto thy people  ^ 3
in the midst of the children  ^ 3
in the wilderness of zin  ^ 3
of god blessed  ^ 3
the work of his hands  ^ 3
and the tribes of israel  ^ 3
be few  ^ 3
of gilead unto  ^ 3
is the land which  ^ 3
of the lord died  ^ 3
died there  ^ 3
but no man  ^ 3
moses in the plains  ^ 3
burned with fire  ^ 3
or female  ^ 3
the likeness of any  ^ 3
whereunto ye  ^ 3
have seen what  ^ 3
created man  ^ 3
man upon  ^ 3
ask now  ^ 3
jordan toward the sunrising  ^ 3
which were on this side  ^ 3
me and keep my commandments  ^ 3
it as the lord  ^ 3
but the seventh day  ^ 3
day is the sabbath  ^ 3
is the sabbath of the lord  ^ 3
do any  ^ 3
false witness  ^ 3
thy neighbors wife  ^ 3
wife neither  ^ 3
hath heard the voice  ^ 3
thou unto  ^ 3
the third and fourth  ^ 3
ye shall not go  ^ 3
is a jealous god  ^ 3
tempt the lord  ^ 3
and these words  ^ 3
between thine eyes  ^ 3
shall bring thee into  ^ 3
thy god shall deliver  ^ 3
those nations  ^ 3
is an abomination to the lord  ^ 3
into thine house  ^ 3
thou shalt not give  ^ 3
for the good  ^ 3
there was no water  ^ 3
and walk after  ^ 3
by bread  ^ 3
at the end of forty  ^ 3
which thou hast brought forth  ^ 3
it is a stiffnecked  ^ 3
is a stiffnecked people  ^ 3
people and behold  ^ 3
quickly out of  ^ 3
and i looked and behold  ^ 3
wherewith the lord  ^ 3
can stand before  ^ 3
for aaron  ^ 3
the calf which  ^ 3
nor hearkened  ^ 3
which thou hast redeemed  ^ 3
destroy not  ^ 3
lest the land  ^ 3
not how  ^ 3
there is no remembrance  ^ 3
are done under  ^ 3
concerning all  ^ 3
have been before  ^ 3
saying lo  ^ 3
to know wisdom  ^ 3
vanity of vanities  ^ 3
saith the preacher  ^ 3
not the works  ^ 3
the works of god  ^ 3
come not  ^ 3
the words of the wise  ^ 3
shall return unto  ^ 3
and behold this  ^ 3
said in mine heart  ^ 3
go to now  ^ 3
to them all  ^ 3
and who knoweth  ^ 3
all the labor  ^ 3
the sun for  ^ 3
also i  ^ 3
than for  ^ 3
under the heaven  ^ 3
great possessions  ^ 3
the good of all  ^ 3
i saw under  ^ 3
one place  ^ 3
place all  ^ 3
that goeth  ^ 3
the spirit of man  ^ 3
i have seen  ^ 3
with thy mouth  ^ 3
for he shall not  ^ 3
fear thou  ^ 3
this wisdom  ^ 3
the work of god  ^ 3
that doeth  ^ 3
that it shall be  ^ 3
surely i  ^ 3
day nor night  ^ 3
wisdom is better  ^ 3
to him that  ^ 3
for the living  ^ 3
which are at  ^ 3
that we should be  ^ 3
of him the  ^ 3
and set  ^ 3
dominion and  ^ 3
in heavenly  ^ 3
grace wherein  ^ 3
beloved in  ^ 3
works which  ^ 3
jesus unto  ^ 3
remember that  ^ 3
rich in  ^ 3
of works  ^ 3
all saints  ^ 3
breadth and  ^ 3
unto the sons  ^ 3
heart who  ^ 3
through all  ^ 3
be ye therefore  ^ 3
gave himself  ^ 3
love your  ^ 3
it that  ^ 3
shall be one  ^ 3
for this cause shall a man  ^ 3
cometh the  ^ 3
is right  ^ 3
power of his  ^ 3
of righteousness and  ^ 3
heaven neither  ^ 3
the same things  ^ 3
of persia and media  ^ 3
the princes and to  ^ 3
the provinces of the king  ^ 3
king ahasuerus  ^ 3
the kings provinces  ^ 3
a feast unto all  ^ 3
for mordecai  ^ 3
mordecai the jew  ^ 3
to the custody  ^ 3
the kings chamberlain  ^ 3
in the kings gate  ^ 3
young virgins  ^ 3
to lay hand  ^ 3
in all the provinces  ^ 3
and he did so  ^ 3
of babylon had carried away  ^ 3
house to  ^ 3
on the thirteenth day  ^ 3
and old  ^ 3
and the decree was given  ^ 3
month that  ^ 3
that is  the month  ^ 3
rent his clothes  ^ 3
the golden scepter  ^ 3
to come in unto  ^ 3
that esther  ^ 3
even before  ^ 3
for none  ^ 3
went forth to  ^ 3
was given at shushan  ^ 3
in the inner court  ^ 3
of fifty cubits  ^ 3
the half of the kingdom  ^ 3
said unto esther  ^ 3
written that  ^ 3
on the gallows  ^ 3
the house of haman  ^ 3
against the jews  ^ 3
for how  ^ 3
on the fourteenth day  ^ 3
seventy and five  ^ 3
jews that  ^ 3
smote all  ^ 3
which came into egypt  ^ 3
be so  ^ 3
moses stretch out  ^ 3
stretch out thine hand  ^ 3
thine hand over  ^ 3
of the land and all  ^ 3
hardened pharaohs  ^ 3
darkness over  ^ 3
also go  ^ 3
the lord until  ^ 3
shall go with  ^ 3
else if  ^ 3
go behold  ^ 3
and the lord hardened  ^ 3
in the sight of the egyptians  ^ 3
that sitteth upon  ^ 3
of it until  ^ 3
it until the morning  ^ 3
by an ordinance forever  ^ 3
whosoever eateth  ^ 3
of the month at even  ^ 3
even that soul  ^ 3
the blood that  ^ 3
the lord will give  ^ 3
and did as  ^ 3
had commanded moses  ^ 3
did and it came to pass  ^ 3
that sat on  ^ 3
and could not  ^ 3
stranger eat  ^ 3
this is the ordinance  ^ 3
one law  ^ 3
all that openeth  ^ 3
of hand the lord  ^ 3
when pharaoh  ^ 3
out of the house of bondage  ^ 3
remember this  ^ 3
of the canaanites and the hittites  ^ 3
and the hittites and the amorites  ^ 3
with a strong hand  ^ 3
the people and the lord  ^ 3
saying let us alone  ^ 3
forever the lord  ^ 3
and the egyptians shall know  ^ 3
the midst of the sea  ^ 3
but the children of israel  ^ 3
against the people  ^ 3
israel go  ^ 3
and the heart of pharaoh  ^ 3
hundred chosen  ^ 3
i will sing unto the lord  ^ 3
shall fall upon  ^ 3
the lord is my strength  ^ 3
into the wilderness  ^ 3
in the red sea  ^ 3
as a stone  ^ 3
which is between  ^ 3
the murmurings of the children  ^ 3
your god and it came to pass  ^ 3
of israel murmured  ^ 3
