StrongsOne ^ StrongsTwo ^ Count
10924 ^ 12472 ^ 2
10924 ^ 12804 ^ 2
10924 ^ 12430 ^ 2
10924 ^ 11765 ^ 2
10924 ^ 10914 ^ 2
10924 ^ 9737 ^ 2
10924 ^ 12124 ^ 2
10924 ^ 12679 ^ 2
10924 ^ 11392 ^ 2
10924 ^ 11869 ^ 2
10924 ^ 9609 ^ 2
10924 ^ 10122 ^ 2
10924 ^ 12518 ^ 2
10924 ^ 13665 ^ 2
10924 ^ 9565 ^ 2
10924 ^ 8865 ^ 2
10924 ^ 12528 ^ 1
10924 ^ 11165 ^ 1
10924 ^ 9323 ^ 1
10924 ^ 9366 ^ 1
10924 ^ 10579 ^ 1
10924 ^ 12435 ^ 1
10924 ^ 12053 ^ 1
10924 ^ 10867 ^ 1
10924 ^ 12467 ^ 1
10924 ^ 10745 ^ 1
10924 ^ 12630 ^ 1
10924 ^ 12292 ^ 1
10924 ^ 13697 ^ 1
10924 ^ 12872 ^ 1
10924 ^ 10872 ^ 1
10924 ^ 12272 ^ 1
10924 ^ 10821 ^ 1
10924 ^ 10917 ^ 1
10924 ^ 13051 ^ 1
10924 ^ 9430 ^ 1
10924 ^ 12436 ^ 1
10924 ^ 13519 ^ 1
10924 ^ 13344 ^ 1
10924 ^ 10668 ^ 1
10924 ^ 10231 ^ 1
10924 ^ 10860 ^ 1
10924 ^ 12765 ^ 1
10924 ^ 10193 ^ 1
10924 ^ 11501 ^ 1
10924 ^ 11847 ^ 1
10924 ^ 12245 ^ 1
10924 ^ 13793 ^ 1
10924 ^ 10111 ^ 1
10924 ^ 13024 ^ 1
10924 ^ 10909 ^ 1
10924 ^ 13497 ^ 1
10924 ^ 12927 ^ 1
10924 ^ 13884 ^ 1
10924 ^ 8828 ^ 1
10924 ^ 12499 ^ 1
10924 ^ 13699 ^ 1
10924 ^ 12748 ^ 1
10924 ^ 13043 ^ 1
10924 ^ 12335 ^ 1
10924 ^ 12374 ^ 1
10924 ^ 9812 ^ 1
10924 ^ 12811 ^ 1
10924 ^ 8706 ^ 1
10924 ^ 11197 ^ 1
10924 ^ 13546 ^ 1
10924 ^ 10715 ^ 1
10924 ^ 10161 ^ 1
10924 ^ 9331 ^ 1
10924 ^ 12431 ^ 1
10924 ^ 12428 ^ 1
10924 ^ 12422 ^ 1
10924 ^ 9317 ^ 1
10924 ^ 8722 ^ 1
10924 ^ 8723 ^ 1
10924 ^ 9061 ^ 1
10924 ^ 13774 ^ 1
10924 ^ 9041 ^ 1
10924 ^ 14018 ^ 1
10924 ^ 8979 ^ 1
10924 ^ 11271 ^ 1
10924 ^ 14021 ^ 1
10924 ^ 11814 ^ 1
10924 ^ 10688 ^ 1
10924 ^ 13002 ^ 1
10924 ^ 10595 ^ 1
10924 ^ 14064 ^ 1
10924 ^ 12232 ^ 1
10924 ^ 12646 ^ 1
10924 ^ 12383 ^ 1
10924 ^ 12427 ^ 1
10924 ^ 11723 ^ 1
10924 ^ 10274 ^ 1
10924 ^ 10212 ^ 1
10924 ^ 14100 ^ 1
10924 ^ 9887 ^ 1
10924 ^ 8909 ^ 1
10924 ^ 13814 ^ 1
10924 ^ 11270 ^ 1
10924 ^ 9303 ^ 1
10924 ^ 10200 ^ 1
10924 ^ 9863 ^ 1
10924 ^ 11312 ^ 1
10924 ^ 10744 ^ 1
10924 ^ 12199 ^ 1
10924 ^ 14141 ^ 1
10924 ^ 11654 ^ 1
10924 ^ 12660 ^ 1
10924 ^ 12057 ^ 1
10924 ^ 14292 ^ 1
10924 ^ 11682 ^ 1
10924 ^ 12485 ^ 1
10924 ^ 13641 ^ 1
10924 ^ 10658 ^ 1
10924 ^ 12647 ^ 1
10924 ^ 9980 ^ 1
10924 ^ 10211 ^ 1
10924 ^ 9133 ^ 1
10924 ^ 13369 ^ 1
10924 ^ 10377 ^ 1
10924 ^ 8839 ^ 1
10924 ^ 13990 ^ 1
10924 ^ 9118 ^ 1
10924 ^ 12690 ^ 1
10924 ^ 10962 ^ 1
10211 ^ 12262 ^ 213
10211 ^ 9520 ^ 77
10211 ^ 12446 ^ 56
10211 ^ 12172 ^ 44
10211 ^ 9522 ^ 43
10211 ^ 13890 ^ 42
10211 ^ 10990 ^ 33
10211 ^ 12776 ^ 23
10211 ^ 12124 ^ 20
10211 ^ 10715 ^ 18
10211 ^ 13349 ^ 17
10211 ^ 14117 ^ 14
10211 ^ 12324 ^ 13
10211 ^ 12413 ^ 12
10211 ^ 13801 ^ 12
10211 ^ 9118 ^ 10
10211 ^ 9862 ^ 10
10211 ^ 10931 ^ 10
10211 ^ 12630 ^ 9
10211 ^ 11993 ^ 6
10211 ^ 9882 ^ 6
10211 ^ 9767 ^ 6
10211 ^ 12735 ^ 6
10211 ^ 10194 ^ 6
10211 ^ 12727 ^ 5
10211 ^ 12857 ^ 5
10211 ^ 11987 ^ 5
10211 ^ 13804 ^ 4
10211 ^ 10374 ^ 4
10211 ^ 10850 ^ 4
10211 ^ 14169 ^ 4
10211 ^ 9730 ^ 4
10211 ^ 10962 ^ 4
10211 ^ 10158 ^ 4
10211 ^ 12225 ^ 4
10211 ^ 8847 ^ 3
10211 ^ 13700 ^ 3
10211 ^ 10373 ^ 3
10211 ^ 9759 ^ 3
10211 ^ 9060 ^ 3
10211 ^ 13364 ^ 3
10211 ^ 8863 ^ 3
10211 ^ 11187 ^ 3
10211 ^ 8714 ^ 2
10211 ^ 8799 ^ 2
10211 ^ 12864 ^ 2
10211 ^ 11264 ^ 2
10211 ^ 13424 ^ 2
10211 ^ 10401 ^ 2
10211 ^ 12298 ^ 2
10211 ^ 13985 ^ 2
10211 ^ 11072 ^ 2
10211 ^ 11099 ^ 2
10211 ^ 10981 ^ 2
10211 ^ 11088 ^ 2
10211 ^ 13878 ^ 2
10211 ^ 10239 ^ 2
10211 ^ 11123 ^ 2
10211 ^ 9420 ^ 2
10211 ^ 11093 ^ 2
10211 ^ 10726 ^ 2
10211 ^ 11238 ^ 2
10211 ^ 9809 ^ 2
10211 ^ 13329 ^ 2
10211 ^ 8992 ^ 2
10211 ^ 10085 ^ 2
10211 ^ 14264 ^ 2
10211 ^ 12780 ^ 2
10211 ^ 11244 ^ 2
10211 ^ 13116 ^ 2
10211 ^ 10957 ^ 1
10211 ^ 13151 ^ 1
10211 ^ 13177 ^ 1
10211 ^ 12058 ^ 1
10211 ^ 9894 ^ 1
10211 ^ 9398 ^ 1
10211 ^ 13828 ^ 1
10211 ^ 13165 ^ 1
10211 ^ 12747 ^ 1
10211 ^ 10857 ^ 1
10211 ^ 12846 ^ 1
10211 ^ 9616 ^ 1
10211 ^ 12288 ^ 1
10211 ^ 12272 ^ 1
10211 ^ 13898 ^ 1
10211 ^ 10938 ^ 1
10211 ^ 9384 ^ 1
10211 ^ 8803 ^ 1
10211 ^ 12152 ^ 1
10211 ^ 13653 ^ 1
10211 ^ 11165 ^ 1
10211 ^ 12032 ^ 1
10211 ^ 12271 ^ 1
10211 ^ 13214 ^ 1
10211 ^ 13759 ^ 1
10211 ^ 12149 ^ 1
10211 ^ 11089 ^ 1
10211 ^ 11410 ^ 1
10211 ^ 9181 ^ 1
10211 ^ 12876 ^ 1
10211 ^ 12636 ^ 1
10211 ^ 9753 ^ 1
10211 ^ 8839 ^ 1
10211 ^ 12093 ^ 1
10211 ^ 8979 ^ 1
10211 ^ 10357 ^ 1
10211 ^ 9847 ^ 1
10211 ^ 12312 ^ 1
10211 ^ 13360 ^ 1
10211 ^ 11666 ^ 1
10211 ^ 9418 ^ 1
10211 ^ 8790 ^ 1
10211 ^ 13190 ^ 1
10211 ^ 12843 ^ 1
10211 ^ 12177 ^ 1
10211 ^ 13077 ^ 1
10211 ^ 13082 ^ 1
10211 ^ 14123 ^ 1
10211 ^ 11262 ^ 1
10211 ^ 11148 ^ 1
10211 ^ 11127 ^ 1
10211 ^ 13296 ^ 1
10211 ^ 13932 ^ 1
10211 ^ 9385 ^ 1
10211 ^ 13533 ^ 1
10211 ^ 12826 ^ 1
10211 ^ 9109 ^ 1
10211 ^ 9414 ^ 1
10211 ^ 12895 ^ 1
10211 ^ 13756 ^ 1
10211 ^ 10179 ^ 1
10211 ^ 10112 ^ 1
10211 ^ 10866 ^ 1
10211 ^ 11145 ^ 1
10211 ^ 11751 ^ 1
10211 ^ 9443 ^ 1
10211 ^ 10438 ^ 1
10211 ^ 10534 ^ 1
10211 ^ 12488 ^ 1
10211 ^ 10332 ^ 1
10211 ^ 8700 ^ 1
10211 ^ 10091 ^ 1
10211 ^ 10119 ^ 1
10211 ^ 11215 ^ 1
10211 ^ 11667 ^ 1
10211 ^ 8841 ^ 1
10211 ^ 11129 ^ 1
10211 ^ 13990 ^ 1
10211 ^ 14023 ^ 1
10211 ^ 11153 ^ 1
10211 ^ 10924 ^ 1
10211 ^ 12660 ^ 1
10211 ^ 11847 ^ 1
10211 ^ 12866 ^ 1
10211 ^ 13767 ^ 1
10211 ^ 9799 ^ 1
4725 ^ 834 ^ 101
4725 ^ 3808 ^ 9
4725 ^ 3588 ^ 8
4725 ^ 7121 ^ 8
4725 ^ 5921 ^ 7
4725 ^ 4480 ^ 5
4725 ^ 1961 ^ 5
4725 ^ 776 ^ 4
4725 ^ 3427 ^ 4
4725 ^ 727 ^ 4
4725 ^ 8085 ^ 4
4725 ^ 3885 ^ 3
4725 ^ 7760 ^ 3
4725 ^ 5414 ^ 3
4725 ^ 559 ^ 3
4725 ^ 859 ^ 3
4725 ^ 5869 ^ 3
4725 ^ 6485 ^ 3
4725 ^ 413 ^ 3
4725 ^ 8033 ^ 3
4725 ^ 1004 ^ 3
4725 ^ 4616 ^ 2
4725 ^ 2026 ^ 2
4725 ^ 2088 ^ 2
4725 ^ 8034 ^ 2
4725 ^ 1880 ^ 2
4725 ^ 1818 ^ 2
4725 ^ 1980 ^ 2
4725 ^ 1188 ^ 2
4725 ^ 5971 ^ 2
4725 ^ 3034 ^ 2
4725 ^ 3703 ^ 2
4725 ^ 935 ^ 2
4725 ^ 5234 ^ 2
4725 ^ 3045 ^ 2
4725 ^ 998 ^ 2
4725 ^ 3605 ^ 2
4725 ^ 6918 ^ 2
4725 ^ 4720 ^ 2
4725 ^ 6999 ^ 2
4725 ^ 853 ^ 2
4725 ^ 3004 ^ 1
4725 ^ 7927 ^ 1
4725 ^ 4196 ^ 1
4725 ^ 5668 ^ 1
4725 ^ 884 ^ 1
4725 ^ 3070 ^ 1
4725 ^ 1 ^ 1
4725 ^ 1581 ^ 1
4725 ^ 7592 ^ 1
4725 ^ 595 ^ 1
4725 ^ 1008 ^ 1
4725 ^ 6213 ^ 1
4725 ^ 4266 ^ 1
4725 ^ 6439 ^ 1
4725 ^ 416 ^ 1
4725 ^ 3669 ^ 1
4725 ^ 7637 ^ 1
4725 ^ 4532 ^ 1
4725 ^ 7965 ^ 1
4725 ^ 854 ^ 1
4725 ^ 5930 ^ 1
4725 ^ 2691 ^ 1
4725 ^ 398 ^ 1
4725 ^ 1931 ^ 1
4725 ^ 7822 ^ 1
4725 ^ 3847 ^ 1
4725 ^ 8404 ^ 1
4725 ^ 6914 ^ 1
4725 ^ 2233 ^ 1
4725 ^ 2767 ^ 1
4725 ^ 194 ^ 1
4725 ^ 1111 ^ 1
4725 ^ 4725 ^ 1
4725 ^ 4735 ^ 1
4725 ^ 2945 ^ 1
4725 ^ 2583 ^ 1
4725 ^ 7368 ^ 1
4725 ^ 5511 ^ 1
4725 ^ 7323 ^ 1
4725 ^ 1066 ^ 1
4725 ^ 7437 ^ 1
4725 ^ 4265 ^ 1
4725 ^ 1145 ^ 1
4725 ^ 6186 ^ 1
4725 ^ 1144 ^ 1
4725 ^ 4191 ^ 1
4725 ^ 2678 ^ 1
4725 ^ 5553 ^ 1
4725 ^ 996 ^ 1
4725 ^ 259 ^ 1
4725 ^ 6560 ^ 1
4725 ^ 8432 ^ 1
4725 ^ 113 ^ 1
4725 ^ 7675 ^ 1
4725 ^ 622 ^ 1
4725 ^ 7094 ^ 1
4725 ^ 8466 ^ 1
4725 ^ 7843 ^ 1
4725 ^ 7725 ^ 1
4725 ^ 6106 ^ 1
4725 ^ 1637 ^ 1
4725 ^ 8337 ^ 1
4725 ^ 8147 ^ 1
4725 ^ 3541 ^ 1
4725 ^ 639 ^ 1
4725 ^ 2750 ^ 1
4725 ^ 5375 ^ 1
4725 ^ 430 ^ 1
4725 ^ 929 ^ 1
4725 ^ 312 ^ 1
4725 ^ 464 ^ 1
4725 ^ 3584 ^ 1
4725 ^ 5982 ^ 1
4725 ^ 5750 ^ 1
4725 ^ 2091 ^ 1
4725 ^ 5601 ^ 1
4725 ^ 7200 ^ 1
4725 ^ 3519 ^ 1
4725 ^ 369 ^ 1
4725 ^ 8577 ^ 1
4725 ^ 4475 ^ 1
4725 ^ 3068 ^ 1
4725 ^ 6822 ^ 1
4725 ^ 1419 ^ 1
4725 ^ 7945 ^ 1
4725 ^ 4941 ^ 1
4725 ^ 6664 ^ 1
4725 ^ 6086 ^ 1
4725 ^ 5678 ^ 1
4725 ^ 4185 ^ 1
4725 ^ 5104 ^ 1
4725 ^ 6862 ^ 1
4725 ^ 168 ^ 1
4725 ^ 7272 ^ 1
4725 ^ 4496 ^ 1
4725 ^ 5307 ^ 1
4725 ^ 6912 ^ 1
4725 ^ 5002 ^ 1
4725 ^ 8612 ^ 1
4725 ^ 3204 ^ 1
4725 ^ 2720 ^ 1
4725 ^ 3772 ^ 1
4725 ^ 4428 ^ 1
4725 ^ 6828 ^ 1
4725 ^ 5117 ^ 1
4725 ^ 3678 ^ 1
4725 ^ 3709 ^ 1
4725 ^ 3411 ^ 1
4725 ^ 5704 ^ 1
4725 ^ 7993 ^ 1
4725 ^ 3381 ^ 1
4725 ^ 2822 ^ 1
4725 ^ 7223 ^ 1
7563 ^ 7725 ^ 8
7563 ^ 4191 ^ 6
7563 ^ 4480 ^ 6
7563 ^ 3808 ^ 6
7563 ^ 6 ^ 6
7563 ^ 3588 ^ 6
7563 ^ 3772 ^ 5
7563 ^ 5414 ^ 4
7563 ^ 369 ^ 4
7563 ^ 1846 ^ 4
7563 ^ 776 ^ 4
7563 ^ 376 ^ 3
7563 ^ 120 ^ 3
7563 ^ 6965 ^ 3
7563 ^ 7451 ^ 3
7563 ^ 5921 ^ 3
7563 ^ 8441 ^ 3
7563 ^ 1961 ^ 2
7563 ^ 157 ^ 2
7563 ^ 7368 ^ 2
7563 ^ 2719 ^ 2
7563 ^ 5704 ^ 2
7563 ^ 5800 ^ 2
7563 ^ 5307 ^ 2
7563 ^ 8045 ^ 2
7563 ^ 2403 ^ 2
7563 ^ 935 ^ 2
7563 ^ 6213 ^ 2
7563 ^ 7561 ^ 2
7563 ^ 1104 ^ 2
7563 ^ 4910 ^ 2
7563 ^ 995 ^ 2
7563 ^ 7563 ^ 2
7563 ^ 6662 ^ 1
7563 ^ 2486 ^ 1
7563 ^ 4100 ^ 1
7563 ^ 1121 ^ 1
7563 ^ 1826 ^ 1
7563 ^ 3027 ^ 1
7563 ^ 2308 ^ 1
7563 ^ 3680 ^ 1
7563 ^ 3615 ^ 1
7563 ^ 2342 ^ 1
7563 ^ 2421 ^ 1
7563 ^ 4725 ^ 1
7563 ^ 1779 ^ 1
7563 ^ 5287 ^ 1
7563 ^ 216 ^ 1
7563 ^ 8478 ^ 1
7563 ^ 1584 ^ 1
7563 ^ 4229 ^ 1
7563 ^ 3369 ^ 1
7563 ^ 1346 ^ 1
7563 ^ 1984 ^ 1
7563 ^ 1363 ^ 1
7563 ^ 5006 ^ 1
7563 ^ 1869 ^ 1
7563 ^ 4305 ^ 1
7563 ^ 1980 ^ 1
7563 ^ 2098 ^ 1
7563 ^ 5973 ^ 1
7563 ^ 954 ^ 1
7563 ^ 982 ^ 1
7563 ^ 8130 ^ 1
7563 ^ 5002 ^ 1
7563 ^ 5110 ^ 1
7563 ^ 2161 ^ 1
7563 ^ 6605 ^ 1
7563 ^ 7665 ^ 1
7563 ^ 3867 ^ 1
7563 ^ 6822 ^ 1
7563 ^ 6184 ^ 1
7563 ^ 3467 ^ 1
7563 ^ 5048 ^ 1
7563 ^ 430 ^ 1
7563 ^ 2114 ^ 1
7563 ^ 7961 ^ 1
7563 ^ 7311 ^ 1
7563 ^ 1438 ^ 1
7563 ^ 5542 ^ 1
7563 ^ 6524 ^ 1
7563 ^ 5937 ^ 1
7563 ^ 6310 ^ 1
7563 ^ 3318 ^ 1
7563 ^ 7200 ^ 1
7563 ^ 5749 ^ 1
7563 ^ 6960 ^ 1
7563 ^ 433 ^ 1
7563 ^ 5341 ^ 1
7563 ^ 6329 ^ 1
7563 ^ 5791 ^ 1
7563 ^ 1288 ^ 1
7563 ^ 833 ^ 1
7563 ^ 653 ^ 1
7563 ^ 8551 ^ 1
7563 ^ 3971 ^ 1
7563 ^ 7537 ^ 1
7563 ^ 4592 ^ 1
7563 ^ 1931 ^ 1
7563 ^ 7114 ^ 1
7563 ^ 8419 ^ 1
7563 ^ 5678 ^ 1
7563 ^ 2398 ^ 1
7563 ^ 4820 ^ 1
7563 ^ 693 ^ 1
7563 ^ 2015 ^ 1
7563 ^ 394 ^ 1
7563 ^ 2530 ^ 1
7563 ^ 4390 ^ 1
7563 ^ 8582 ^ 1
7563 ^ 887 ^ 1
7563 ^ 4397 ^ 1
7563 ^ 2637 ^ 1
7563 ^ 1760 ^ 1
7563 ^ 5916 ^ 1
7563 ^ 5042 ^ 1
7563 ^ 8085 ^ 1
7563 ^ 3117 ^ 1
7563 ^ 3947 ^ 1
7563 ^ 5186 ^ 1
7563 ^ 1641 ^ 1
7563 ^ 183 ^ 1
7563 ^ 5557 ^ 1
7563 ^ 3724 ^ 1
7563 ^ 5116 ^ 1
7563 ^ 3782 ^ 1
7563 ^ 859 ^ 1
7563 ^ 6440 ^ 1
7563 ^ 7515 ^ 1
7563 ^ 5127 ^ 1
7563 ^ 8104 ^ 1
7563 ^ 7235 ^ 1
7563 ^ 748 ^ 1
7563 ^ 6912 ^ 1
7563 ^ 3426 ^ 1
7563 ^ 413 ^ 1
7563 ^ 2896 ^ 1
7563 ^ 6118 ^ 1
7563 ^ 7626 ^ 1
7563 ^ 1077 ^ 1
7563 ^ 854 ^ 1
7563 ^ 1644 ^ 1
7563 ^ 7789 ^ 1
7563 ^ 6743 ^ 1
7563 ^ 1115 ^ 1
7563 ^ 4194 ^ 1
7563 ^ 3651 ^ 1
7563 ^ 5387 ^ 1
7563 ^ 834 ^ 1
7563 ^ 7332 ^ 1
7563 ^ 3803 ^ 1
7563 ^ 6168 ^ 1
7563 ^ 996 ^ 1
14221 ^ 11098 ^ 58
14221 ^ 11206 ^ 36
14221 ^ 12262 ^ 19
14221 ^ 10931 ^ 14
14221 ^ 10396 ^ 12
14221 ^ 12000 ^ 12
14221 ^ 9835 ^ 10
14221 ^ 9897 ^ 10
14221 ^ 12413 ^ 8
14221 ^ 10193 ^ 8
14221 ^ 11117 ^ 8
14221 ^ 10738 ^ 7
14221 ^ 9273 ^ 7
14221 ^ 9520 ^ 6
14221 ^ 11270 ^ 6
14221 ^ 12430 ^ 6
14221 ^ 12452 ^ 5
14221 ^ 10127 ^ 5
14221 ^ 10211 ^ 5
14221 ^ 12630 ^ 4
14221 ^ 10750 ^ 4
14221 ^ 12632 ^ 4
14221 ^ 8909 ^ 4
14221 ^ 9770 ^ 4
14221 ^ 12428 ^ 4
14221 ^ 13775 ^ 3
14221 ^ 10990 ^ 3
14221 ^ 13902 ^ 3
14221 ^ 12988 ^ 3
14221 ^ 9456 ^ 3
14221 ^ 14287 ^ 3
14221 ^ 14159 ^ 3
14221 ^ 13881 ^ 2
14221 ^ 9754 ^ 2
14221 ^ 10902 ^ 2
14221 ^ 11636 ^ 2
14221 ^ 10185 ^ 2
14221 ^ 10710 ^ 2
14221 ^ 13656 ^ 2
14221 ^ 12451 ^ 2
14221 ^ 12154 ^ 2
14221 ^ 9581 ^ 2
14221 ^ 11496 ^ 2
14221 ^ 9737 ^ 2
14221 ^ 12726 ^ 2
14221 ^ 13883 ^ 2
14221 ^ 14248 ^ 2
14221 ^ 14281 ^ 2
14221 ^ 12927 ^ 2
14221 ^ 13391 ^ 2
14221 ^ 11205 ^ 2
14221 ^ 12834 ^ 2
14221 ^ 11458 ^ 2
14221 ^ 11318 ^ 2
14221 ^ 9249 ^ 2
14221 ^ 11654 ^ 2
14221 ^ 11347 ^ 2
14221 ^ 13711 ^ 2
14221 ^ 14157 ^ 2
14221 ^ 9854 ^ 1
14221 ^ 10932 ^ 1
14221 ^ 12666 ^ 1
14221 ^ 8955 ^ 1
14221 ^ 9609 ^ 1
14221 ^ 12426 ^ 1
14221 ^ 11980 ^ 1
14221 ^ 11197 ^ 1
14221 ^ 12970 ^ 1
14221 ^ 11064 ^ 1
14221 ^ 10505 ^ 1
14221 ^ 9837 ^ 1
14221 ^ 12479 ^ 1
14221 ^ 12774 ^ 1
14221 ^ 10186 ^ 1
14221 ^ 11021 ^ 1
14221 ^ 13730 ^ 1
14221 ^ 10775 ^ 1
14221 ^ 9374 ^ 1
14221 ^ 12361 ^ 1
14221 ^ 9624 ^ 1
14221 ^ 11981 ^ 1
14221 ^ 9323 ^ 1
14221 ^ 11432 ^ 1
14221 ^ 10085 ^ 1
14221 ^ 10923 ^ 1
14221 ^ 13890 ^ 1
14221 ^ 12441 ^ 1
14221 ^ 10075 ^ 1
14221 ^ 8751 ^ 1
14221 ^ 12435 ^ 1
14221 ^ 9296 ^ 1
14221 ^ 10744 ^ 1
14221 ^ 9210 ^ 1
14221 ^ 10951 ^ 1
14221 ^ 10772 ^ 1
14221 ^ 9921 ^ 1
14221 ^ 13586 ^ 1
14221 ^ 11211 ^ 1
14221 ^ 10655 ^ 1
14221 ^ 9923 ^ 1
14221 ^ 10872 ^ 1
14221 ^ 12944 ^ 1
14221 ^ 10479 ^ 1
14221 ^ 9999 ^ 1
14221 ^ 10420 ^ 1
14221 ^ 9360 ^ 1
14221 ^ 12119 ^ 1
14221 ^ 10333 ^ 1
14221 ^ 14297 ^ 1
14221 ^ 10801 ^ 1
14221 ^ 9200 ^ 1
14221 ^ 11404 ^ 1
14221 ^ 13909 ^ 1
14221 ^ 10691 ^ 1
14221 ^ 11450 ^ 1
14221 ^ 12453 ^ 1
14221 ^ 11279 ^ 1
14221 ^ 11844 ^ 1
14221 ^ 12857 ^ 1
14221 ^ 10210 ^ 1
14221 ^ 10122 ^ 1
14221 ^ 10417 ^ 1
14221 ^ 13010 ^ 1
14221 ^ 10886 ^ 1
14221 ^ 10448 ^ 1
14221 ^ 10389 ^ 1
14221 ^ 13415 ^ 1
14221 ^ 11394 ^ 1
14221 ^ 9124 ^ 1
14221 ^ 10414 ^ 1
14221 ^ 10438 ^ 1
14221 ^ 10405 ^ 1
14221 ^ 10463 ^ 1
14221 ^ 10983 ^ 1
14221 ^ 9542 ^ 1
14221 ^ 11869 ^ 1
14221 ^ 10678 ^ 1
14221 ^ 10111 ^ 1
14221 ^ 10066 ^ 1
14221 ^ 14016 ^ 1
14221 ^ 12528 ^ 1
14221 ^ 9204 ^ 1
14221 ^ 10852 ^ 1
14221 ^ 11861 ^ 1
14221 ^ 10065 ^ 1
14221 ^ 12601 ^ 1
14221 ^ 12478 ^ 1
14221 ^ 11781 ^ 1
14221 ^ 11649 ^ 1
14221 ^ 9887 ^ 1
14221 ^ 10016 ^ 1
14221 ^ 10866 ^ 1
14221 ^ 14181 ^ 1
3701 ^ 2091 ^ 56
3701 ^ 4219 ^ 13
3701 ^ 5178 ^ 12
3701 ^ 7086 ^ 12
3701 ^ 4480 ^ 9
3701 ^ 3627 ^ 9
3701 ^ 3808 ^ 8
3701 ^ 5414 ^ 8
3701 ^ 3605 ^ 6
3701 ^ 834 ^ 6
3701 ^ 935 ^ 6
3701 ^ 3027 ^ 6
3701 ^ 1961 ^ 6
3701 ^ 5921 ^ 6
3701 ^ 4672 ^ 5
3701 ^ 8478 ^ 5
3701 ^ 8147 ^ 5
3701 ^ 3701 ^ 5
3701 ^ 853 ^ 4
3701 ^ 7725 ^ 3
3701 ^ 4948 ^ 3
3701 ^ 176 ^ 3
3701 ^ 2568 ^ 3
3701 ^ 5392 ^ 3
3701 ^ 3603 ^ 3
3701 ^ 1571 ^ 3
3701 ^ 6884 ^ 3
3701 ^ 4135 ^ 2
3701 ^ 2009 ^ 2
3701 ^ 5674 ^ 2
3701 ^ 572 ^ 2
3701 ^ 3318 ^ 2
3701 ^ 6213 ^ 2
3701 ^ 8552 ^ 2
3701 ^ 656 ^ 2
3701 ^ 1167 ^ 2
3701 ^ 8337 ^ 2
3701 ^ 6826 ^ 2
3701 ^ 8255 ^ 2
3701 ^ 6187 ^ 2
3701 ^ 3967 ^ 2
3701 ^ 398 ^ 2
3701 ^ 8354 ^ 2
3701 ^ 259 ^ 2
3701 ^ 517 ^ 2
3701 ^ 8143 ^ 2
3701 ^ 3389 ^ 2
3701 ^ 5483 ^ 2
3701 ^ 3588 ^ 2
3701 ^ 3947 ^ 2
3701 ^ 6235 ^ 2
3701 ^ 4428 ^ 2
3701 ^ 1715 ^ 2
3701 ^ 6083 ^ 2
3701 ^ 3564 ^ 2
3701 ^ 457 ^ 2
3701 ^ 34 ^ 2
3701 ^ 4392 ^ 1
3701 ^ 7704 ^ 1
3701 ^ 4100 ^ 1
3701 ^ 413 ^ 1
3701 ^ 8242 ^ 1
3701 ^ 3372 ^ 1
3701 ^ 6310 ^ 1
3701 ^ 3381 ^ 1
3701 ^ 1375 ^ 1
3701 ^ 6547 ^ 1
3701 ^ 7794 ^ 1
3701 ^ 4119 ^ 1
3701 ^ 2053 ^ 1
3701 ^ 134 ^ 1
3701 ^ 6485 ^ 1
3701 ^ 1931 ^ 1
3701 ^ 4465 ^ 1
3701 ^ 4736 ^ 1
3701 ^ 5347 ^ 1
3701 ^ 5736 ^ 1
3701 ^ 505 ^ 1
3701 ^ 6306 ^ 1
3701 ^ 4749 ^ 1
3701 ^ 6696 ^ 1
3701 ^ 155 ^ 1
3701 ^ 854 ^ 1
3701 ^ 3068 ^ 1
3701 ^ 3117 ^ 1
3701 ^ 1129 ^ 1
3701 ^ 7255 ^ 1
3701 ^ 6944 ^ 1
3701 ^ 5315 ^ 1
3701 ^ 727 ^ 1
3701 ^ 8505 ^ 1
3701 ^ 4212 ^ 1
3701 ^ 2403 ^ 1
3701 ^ 7970 ^ 1
3701 ^ 7227 ^ 1
3701 ^ 7936 ^ 1
3701 ^ 4046 ^ 1
3701 ^ 7979 ^ 1
3701 ^ 2902 ^ 1
3701 ^ 8010 ^ 1
3701 ^ 3972 ^ 1
3701 ^ 2388 ^ 1
3701 ^ 7230 ^ 1
3701 ^ 6440 ^ 1
3701 ^ 8672 ^ 1
3701 ^ 3713 ^ 1
3701 ^ 2672 ^ 1
3701 ^ 8346 ^ 1
3701 ^ 1550 ^ 1
3701 ^ 4725 ^ 1
3701 ^ 8254 ^ 1
3701 ^ 84 ^ 1
3701 ^ 967 ^ 1
3701 ^ 2664 ^ 1
3701 ^ 8393 ^ 1
3701 ^ 1847 ^ 1
3701 ^ 3820 ^ 1
3701 ^ 5509 ^ 1
3701 ^ 4310 ^ 1
3701 ^ 6738 ^ 1
3701 ^ 6030 ^ 1
3701 ^ 2256 ^ 1
3701 ^ 7507 ^ 1
3701 ^ 518 ^ 1
3701 ^ 642 ^ 1
3701 ^ 7577 ^ 1
3701 ^ 7070 ^ 1
3701 ^ 977 ^ 1
3701 ^ 1980 ^ 1
3701 ^ 7121 ^ 1
3701 ^ 7554 ^ 1
3701 ^ 7651 ^ 1
3701 ^ 3976 ^ 1
3701 ^ 5749 ^ 1
3701 ^ 3789 ^ 1
3701 ^ 6086 ^ 1
3701 ^ 2351 ^ 1
