subclause word index ^ length
62992 ^ - of caesar.
63027 ^ of the passover;
63125 ^ of the jews.
63133 ^ of the jews,
63158 ^ of the jews,
63164 ^ of the jews,
63172 ^ of the jews.
63254 ^ - of jesus
63262 ^ of the mother of him,
63265 ^ mary
63267 ^ - of clopas,
63269 ^ and mary
63334 ^ with sour wine,
63380 ^ that - sabbath —
63398 ^ of the
63400 ^ first
63404 ^ and of the other
63427 ^ of the soldiers
63492 ^ - of jesus —
63499 ^ of the jews —
63505 ^ - of jesus;
63531 ^ of myrrh
63532 ^ and aloes,
63541 ^ - of jesus
63581 ^ of the jews,
63594 ^ of the week,
63670 ^ - than peter
63794 ^ - of jesus.
63945 ^ of the jews,
64052 ^ of the nails,
64062 ^ of the nails,
64195 ^ - of god,
64218 ^ - of tiberias.
64237 ^ - of galilee,
64239 ^ and the [sons]
64241 ^ - of zebedee,
64243 ^ and others
64315 ^ of the boat
64331 ^ of the fish.
64389 ^ with the fish.
64428 ^ of fish
64449 ^ of the disciples
64805 ^ - of god.
64819 ^ of the father:
64903 ^ of the earth.
65031 ^ - of jesus,
65033 ^ and the brothers of him.
65046 ^ of the brothers,
65091 ^ of the ministry this.
65101 ^ - of unrighteousness,
65189 ^ of the resurrection of him
65227 ^ of the ministry this
65230 ^ and apostleship,
65264 ^ - of pentecost,
65405 ^ - of libya
65429 ^ - of god!
65493 ^ of the day;
65650 ^ - of god, delivered up
65665 ^ of death,
65782 ^ of the loins of him
65795 ^ of the christ,
65828 ^ of the spirit
65871 ^ of the feet of you.’
65926 ^ of jesus christ
65930 ^ of the sins of you,
65937 ^ of the holy spirit.
65999 ^ of the apostles,
66001 ^ and - in fellowship,
66004 ^ the breaking
66006 ^ of the bread,
66008 ^ and the prayers.
66105 ^ - of prayer,
66115 ^ of mother of him
66126 ^ of the temple
66192 ^ of jesus
66261 ^ of the temple;
66369 ^ - of life
66386 ^ in the name of him,
66432 ^ of all the prophets,
66458 ^ of the lord,
66474 ^ of restoration
66475 ^ of all things,
66482 ^ of holy
66550 ^ of the prophets
66552 ^ and of the covenant
66575 ^ of the earth.’
66610 ^ of the temple
66612 ^ and the sadducees,
66659 ^ of the men
66723 ^ of the people
66725 ^ and elders,
66733 ^ [to the] man ailing,
66752 ^ of jesus
66815 ^ - of peter boldness,
66818 ^ and of john,
66914 ^ - of jesus.
66983 ^ of healing.
67031 ^ of the father of us
67038 ^ david
67052 ^ of the earth,
67144 ^ of the holy servant of you, jesus.
67169 ^ - of god
67206 ^ of the resurrection;
67208 ^ of the lord jesus
67228 ^ of lands
67229 ^ or houses
67243 ^ of the apostles;
67268 ^ at the birth,
67282 ^ of the apostles.
67312 ^ of the apostles
67339 ^ of the land?
67494 ^ of the apostles
67512 ^ of the
67514 ^ rest, no one
67531 ^ of men both,
67533 ^ and women,
67563 ^ from the
67589 ^ of the sadducees,
67614 ^ of the prison,
67632 ^ of the life this.
67661 ^ of the sons of israel,
67714 ^ of the temple
67716 ^ and the chief priests
67805 ^ of the man this.
67823 ^ of the fathers of us
67856 ^ of the things these,
67890 ^ by all the people,
67927 ^ of men number
67952 ^ of the registration
68020 ^ - of jesus,
68031 ^ of the council,
68066 ^ of the hellenists
68087 ^ of the disciples,
68097 ^ - of god,
68110 ^ of [the] spirit
68111 ^ and wisdom,
68126 ^ of the word
68142 ^ of faith
68143 ^ and [of the] spirit holy,
68146 ^ and philip,
68148 ^ and prochorus,
68150 ^ and nicanor,
68152 ^ and timon,
68154 ^ and parmenas,
68156 ^ and nicolas
68174 ^ - of god
68181 ^ of the disciples
68189 ^ of the priests
68197 ^ grace
68198 ^ and power,
68211 ^ of those
68353 ^ - of glory
68607 ^ - of joseph.
68662 ^ of the promise
68725 ^ of the father.
68878 ^ of the mount sinai
68884 ^ of fire of a bush.
68903 ^ of the fathers of you,
68908 ^ of abraham,
68909 ^ and of isaac,
68911 ^ and of jacob.’
68928 ^ of the feet of you,
68944 ^ of the people of me
68988 ^ of [the] angel
69123 ^ of the hands of them.
69136 ^ of heaven,
69142 ^ of the prophets:
69161 ^ - of moloch,
69163 ^ and the star
69166 ^ of the god of you rephan,
69170 ^ the images
69183 ^ of the testimony
69217 ^ of the nations
69225 ^ of the fathers of us,
69269 ^ of the feet of me.
69281 ^ of the rest of me?
69294 ^ in heart
69295 ^ and - ears,
69312 ^ of the prophets
69326 ^ of the righteous one,
69361 ^ of [the] spirit holy,
69375 ^ - of god,
69387 ^ - of man
69392 ^ - of god.
69484 ^ - of judea
69486 ^ and samaria,
69489 ^ the apostles.
69598 ^ - of samaria,
69617 ^ - of god
69642 ^ - of god,
69644 ^ and the name
69647 ^ of jesus christ,
69686 ^ - of god,
69717 ^ of the lord jesus.
69738 ^ of the hands
69740 ^ of the apostles
69779 ^ - of god
69822 ^ of the heart of you;
69862 ^ of the lord,
69870 ^ of the samaritans
69906 ^ of candace
69987 ^ of the scripture
70163 ^ of the lord,
70400 ^ of choice
70402 ^ to me
70505 ^ - of god.
70646 ^ - of jesus.
70661 ^ of [the] lord.
70707 ^ of the lord;
70709 ^ and in the comfort
70712 ^ of the holy spirit
70793 ^ works good,
70795 ^ and of alms
70818 ^ - joppa,
70981 ^ of the day,
70984 ^ - of god
71054 ^ of the servants
71056 ^ and a soldier
71128 ^ of the earth,
71130 ^ and birds
71132 ^ of heaven.
71289 ^ of the jews,
71319 ^ of the brothers
71392 ^ for a man a jew
71476 ^ of simon, a tanner
71602 ^ of all things
71609 ^ of the jews
71611 ^ and in jerusalem,
71728 ^ of the holy spirit
71769 ^ of jesus christ
71797 ^ - of god.
71863 ^ of the earth,
71865 ^ and the wild beasts,
71868 ^ and the creeping things,
71871 ^ and the birds
71874 ^ of the air.
71968 ^ of the man.
72030 ^ of the lord,
72159 ^ of the church
72180 ^ - god,
72188 ^ - of heart
72199 ^ of [the] spirit holy,
72201 ^ and of faith.
72303 ^ of barnabas
72304 ^ and saul.
72319 ^ of those
72335 ^ to the jews,
72345 ^ of the unleavened [bread] —
72431 ^ - of peter,
72550 ^ of the people
72552 ^ of the jews.
72560 ^ of mary
72564 ^ of john,
72579 ^ of the gate,
72590 ^ - of peter,
72720 ^ of the king,
72779 ^ - of god
72888 ^ - of god
72893 ^ of the jews.
72934 ^ - of god.
72969 ^ of all deceit
72971 ^ and all craft,
72974 ^ son of [the] devil,
72976 ^ enemy
72977 ^ of all righteousness,
72984 ^ the of lord
73027 ^ of the lord.
73040 ^ - of pamphylia.
73068 ^ of the sabbaths,
73075 ^ of the law
73077 ^ and of the prophets,
73117 ^ of the people
73211 ^ [son] of jesse
73241 ^ of the coming of him
73275 ^ of the feet
73281 ^ of [the] family of abraham,
73283 ^ and those
73293 ^ of the salvation this
73311 ^ of the prophets
73449 ^ - of god purpose,
73551 ^ of the jews
73553 ^ and of the
73570 ^ - of god.
73584 ^ - of the lord.
73616 ^ - of god;
73626 ^ - of eternal life,
73652 ^ of the earth.’
73663 ^ of the lord,
73677 ^ of the lord
73695 ^ of the city,
73717 ^ of the feet
73744 ^ of the jews
73766 ^ of the gentiles
73785 ^ of the grace of him,
73801 ^ of the city,
73819 ^ of the gentiles both
73822 ^ and jews,
73837 ^ - of lycaonia,
73854 ^ in the feet,
73860 ^ of [the] mother of him,
73932 ^ - of zeus,
74110 ^ of the disciples,
74127 ^ - of god.
74171 ^ - of god
74221 ^ - of moses,
74277 ^ of the gentiles,
74311 ^ of those
74315 ^ of the pharisees
74372 ^ of the gospel,
74415 ^ of the disciples
74430 ^ of [the] lord jesus,
74493 ^ of the prophets,
74520 ^ - of men
74563 ^ of the idols,
74565 ^ and - sexual immorality,
74568 ^ and that which is strangled,
74571 ^ and from blood.
74690 ^ of the lord of us,
74804 ^ of the lord.
74827 ^ of the lord,
74885 ^ of the lord
74917 ^ of a woman
75097 ^ of the of macedonia city, a colony.
75113 ^ of the sabbaths,
75137 ^ of [the] city of thyatira,
75168 ^ to the lord
75214 ^ of the god
75242 ^ of jesus christ
75261 ^ of the profit of them,
75376 ^ of the prison house;
75399 ^ of the prison,
75471 ^ of the lord,
75487 ^ of the night,
75633 ^ of the jews.
75639 ^ - with paul,
75689 ^ - along with
75695 ^ women then
75807 ^ of the jews
75814 ^ than those
75868 ^ - of god,
76056 ^ of the ares hill,
76103 ^ of heaven
76104 ^ and earth
76140 ^ of the earth,
76148 ^ of the habitation of them,
76181 ^ of the
76199 ^ to gold,
76200 ^ or to silver,
76202 ^ or to stone,
76204 ^ a graven thing,
76205 ^ of craft
76206 ^ and imagination of man,
76217 ^ - of ignorance
76311 ^ - a native,
76348 ^ by the trade.
76420 ^ of a certain one
76448 ^ of the corinthians
76503 ^ - of god.
76509 ^ of achaia,
76708 ^ - a native,
76710 ^ a man eloquent,
76725 ^ of the lord.
76765 ^ of god.
76887 ^ of the lord jesus.
76932 ^ - of god.
76974 ^ of the lord,
77035 ^ of the lord jesus,
77107 ^ to all jews both
77110 ^ and greeks,
77126 ^ of the lord jesus.
77278 ^ - of asia,
77310 ^ of the great goddess artemis temple
77324 ^ of her,
77379 ^ of the asiarchs,
77473 ^ of the great artemis,
77476 ^ and of that fallen from the sky?
77648 ^ of the unleavened bread,
77670 ^ of the week,
77848 ^ - of pentecost
77863 ^ of the church.
77906 ^ of the jews;
77975 ^ not any account
77981 ^ to myself,
77999 ^ of the grace
78001 ^ - of god.
78045 ^ - of god
78066 ^ - of god,
78073 ^ the own.
78130 ^ of the grace of him,
78180 ^ of the lord jesus,
78213 ^ - of paul,
78381 ^ of philip
78418 ^ - of paul,
78495 ^ of the lord jesus.
78601 ^ for the law
78718 ^ of the days
78720 ^ of the purification
78822 ^ of the people.
78846 ^ of the cohort
78931 ^ of the crowd.
78937 ^ of the people,
78985 ^ of the assassins?
78997 ^ - of cilicia,
78999 ^ not [of an] insignificant city a citizen.
79066 ^ - of cilicia,
79081 ^ of the of our fathers law,
79086 ^ - for god,
79240 ^ of the light that,
79255 ^ devout
79287 ^ of the fathers of us
79310 ^ for him
79391 ^ of stephen,
79668 ^ - of god
79685 ^ of the people of you,
79729 ^ between the pharisees
79731 ^ and sadducees,
79760 ^ of the scribes
79762 ^ of the party
79764 ^ of the pharisees,
79916 ^ of the sister of paul
79935 ^ of the centurions,
80071 ^ of the centurions,
80090 ^ of the night.
80157 ^ of the law of them,
80163 ^ of death
80164 ^ or of chains
80262 ^ - of herod
80354 ^ of the
80355 ^ of the nazarenes sect,
80404 ^ to nation, this
80417 ^ not more than
80501 ^ of [the] just both
80503 ^ and of [the] unjust.
80629 ^ the own of him
80745 ^ of the jews,
80806 ^ not more than
80808 ^ eight
80809 ^ or ten,
80851 ^ of the jews,
80853 ^ nor against the temple,
80857 ^ nor against caesar,
80997 ^ of the jews,
81104 ^ - emperor's decision,
81156 ^ in the city,
81184 ^ of the jews
81293 ^ with all the
81340 ^ - of our religion
81399 ^ of jesus
81414 ^ of the saints
81463 ^ the chief priests,
81476 ^ of the sun,
81579 ^ - of satan
81604 ^ to the heavenly vision,
81619 ^ - of judea,
81621 ^ and to the gentiles,
81632 ^ - of repentance works
81828 ^ of death
81829 ^ or of chains worthy any
81871 ^ of the cohort of augustus.
81936 ^ - of lycia.
82071 ^ - of crete,
82125 ^ of the lifeboat,
82160 ^ of the ship
82299 ^ of the night,
82385 ^ of the lifeboat,
82424 ^ not one
82426 ^ of you a hair
82512 ^ of the rudders.
82546 ^ of the waves.
82548 ^ of the
82550 ^ soldiers, [the] plan
82741 ^ of the island,
82756 ^ - of publius,
82921 ^ the people
82923 ^ or the customs
82935 ^ of the romans,
82979 ^ - of israel,
83002 ^ of the brothers
83046 ^ - of god,
83126 ^ of the people this,
83167 ^ - of god;
83189 ^ - of god
83205 ^ of christ jesus,
83207 ^ a called apostle
83273 ^ of jesus christ.
83332 ^ of the son of him,
83354 ^ - of god,
83384 ^ of you both
83386 ^ and of me.
83487 ^ of men,
83497 ^ - of god
83561 ^ of the immortal god
83566 ^ of an image
83567 ^ of mortal man
83569 ^ and birds
83571 ^ and quadrupeds
83573 ^ and creeping things.
83583 ^ of the hearts of them
83599 ^ - of god
83651 ^ of the female,
83671 ^ of the error of them,
83726 ^ - of god
83773 ^ - of god
83802 ^ - of god?
83807 ^ of the kindness of him,
83810 ^ and the forbearance,
83813 ^ and the patience
83821 ^ - of god
83840 ^ of wrath
83841 ^ and revelation
83843 ^ of righteous judgement
83844 ^ - of god,
83857 ^ in work good,
83888 ^ of man
83973 ^ of the law,
84001 ^ - of men,
84041 ^ to those
84051 ^ - of knowledge
84053 ^ and of the truth
84088 ^ of the law,
84096 ^ - of god
84129 ^ of the law
84199 ^ of the jew?
84205 ^ of the circumcision?
84218 ^ - of god.
84231 ^ - of god
84294 ^ - of god,
84486 ^ from jesus christ
84503 ^ - of god,
84531 ^ of the righteousness of him,
84537 ^ of the
84543 ^ - of god;
84548 ^ the righteousness of him
84697 ^ of the man
84765 ^ of the righteousness
84767 ^ of the faith
84804 ^ of the
84808 ^ of the father of us, abraham.
84818 ^ - to abraham
84820 ^ or the descendants of him
84889 ^ of all of us —
84895 ^ of many nations
84925 ^ of many nations,
84952 ^ of the womb of sarah.
84959 ^ - of god,
85061 ^ of the glory
85063 ^ - of god.
85096 ^ - of god
85179 ^ of the son of him,
85271 ^ of the transgression of adam,
85291 ^ of the one trespass,
85301 ^ - of god
85303 ^ and the gift
85306 ^ in grace
85309 ^ of the one man,
85345 ^ of the one trespass,
85359 ^ - of grace,
85361 ^ and of the gift
85364 ^ - of righteousness
85366 ^ receiving,
85402 ^ of the one man,
85414 ^ of the one,
85511 ^ of the father,
85524 ^ in the likeness
85526 ^ of the death of him,
85546 ^ - of sin,
85604 ^ - to sin,
85694 ^ whether of sin
85709 ^ - of sin,
85733 ^ of the flesh of you.
85766 ^ - of sin,
85770 ^ - from righteousness.
85810 ^ - of sin
85816 ^ - of god,
85861 ^ of the husband.
85903 ^ - of christ,
85926 ^ - of sins
85959 ^ not in oldness
85961 ^ of [the] letter.
86224 ^ - of god,
86241 ^ of the mind of me,
86250 ^ - of sin,
86267 ^ - of death this?
86306 ^ of the spirit
86308 ^ of life
86318 ^ - of sin
86320 ^ and - of death.
86326 ^ the law,
86342 ^ of flesh of sin,
86344 ^ and for sin,
86356 ^ of the law
86375 ^ of the flesh
86383 ^ of the spirit.
86388 ^ of the flesh
86394 ^ of the spirit,
86402 ^ of the flesh
86410 ^ - of god
86524 ^ of the body
86589 ^ of the present time [are]
86602 ^ of the creation,
86606 ^ of the sons
86608 ^ - of god
86634 ^ - of decay,
86639 ^ of the glory
86641 ^ of the children
86643 ^ - of god.
86665 ^ of the spirit
86678 ^ of the body of us.
86738 ^ of the spirit,
86768 ^ the image
86770 ^ of the son of him,
86857 ^ - of god,
86870 ^ - of christ?
86938 ^ - of god
87039 ^ - of god.
87067 ^ of the flesh,
87071 ^ - of god;
87076 ^ of the promise
87124 ^ - of god
87263 ^ over the clay,
87306 ^ of the glory of him
87336 ^ not people
87338 ^ of me,
87361 ^ of god
87373 ^ of the sons of israel
87379 ^ of the sea,
87452 ^ - of stumbling,
87476 ^ - of my heart
87479 ^ and the supplication
87503 ^ - of god righteousness,
87514 ^ - of god,
87599 ^ - of faith
87651 ^ jew between
87653 ^ and greek;
87753 ^ of the world,
88085 ^ of the branches
88097 ^ of the root
88099 ^ of the fatness
88101 ^ of the olive tree
88247 ^ of the gentiles
88300 ^ - of god.
88342 ^ of riches,
88343 ^ both of wisdom
88345 ^ and knowledge of god!
88400 ^ - of god,
88410 ^ - to god
88412 ^ which is [the] reasonable service of you.
88426 ^ of the mind,
88435 ^ - of god,
88520 ^ of the faith;
88590 ^ of the saints
88724 ^ - of god ordinance
88740 ^ - to good works,
88823 ^ the tax,
88828 ^ the revenue,
88833 ^ the respect,
88838 ^ the honor,
88929 ^ - of darkness;
88935 ^ - of light.
89138 ^ of god.
89236 ^ - of god
89258 ^ - to god
89260 ^ and approved
89262 ^ - by men.
89267 ^ - of peace
89272 ^ - for edification
89283 ^ - of god.
89354 ^ of the weak
89405 ^ of the scriptures,
89413 ^ - of endurance
89415 ^ and - encouragement,
89438 ^ of the lord of us
89454 ^ - of god.
89470 ^ to the fathers,
89523 ^ - of jesse,
89525 ^ and
89537 ^ - of hope
89557 ^ [of the] spirit holy.
89605 ^ christ of jesus
89613 ^ - of god,
89619 ^ of the gentiles
89656 ^ of signs
89657 ^ and wonders,
89661 ^ of [the] spirit of god;
89675 ^ - of christ,
89774 ^ among the saints
89822 ^ of the blessing of christ
89839 ^ of the spirit,
89884 ^ - of peace
89900 ^ of the church
89911 ^ - of the saints,
89926 ^ of many
89928 ^ and of me myself.
89937 ^ of me
89938 ^ in christ jesus —
89960 ^ of the gentiles —
89976 ^ - of asia
90080 ^ of him
90081 ^ and of me.
90121 ^ - of christ.
90167 ^ of the naive.
90196 ^ - of peace
90209 ^ of the lord of us jesus
90245 ^ of me,
90246 ^ and of all the church.
90255 ^ of the city,
90257 ^ and quartus,
90273 ^ of jesus christ,
90290 ^ of the eternal god,
90317 ^ of christ jesus
90328 ^ - of god
90346 ^ of the lord of us
90354 ^ both theirs
90355 ^ and ours:
90379 ^ - of god
90402 ^ about christ
90417 ^ of the lord of us
90432 ^ of the lord of us
90445 ^ with the son of him,
90460 ^ of the lord of us
90589 ^ of the christ.
90595 ^ of the cross,
90614 ^ of the wise,
90619 ^ of the intelligent
90628 ^ the age of this?
90637 ^ of the world?
90644 ^ - of god,
90661 ^ of the proclamation,
90703 ^ - of god
90706 ^ - than men
90712 ^ - of god
90715 ^ - than men.
90738 ^ of the world
90750 ^ of the world
90762 ^ of the world,
90764 ^ and
90822 ^ of speech,
90823 ^ or wisdom,
90829 ^ - of god.
90874 ^ of [the] spirit
90875 ^ and of power,
90898 ^ not the age of this,
90902 ^ nor of the rulers
90905 ^ the age of this,
90930 ^ of the rulers
90932 ^ the age of this
90943 ^ - of glory
90986 ^ - of god.
90993 ^ of the man,
90999 ^ of the man
91007 ^ - of god
91015 ^ - of god.
91022 ^ of the world
91046 ^ of human wisdom words,
91062 ^ of the spirit
91064 ^ - of god;
91114 ^ in christ.
91231 ^ - of god
91331 ^ - of god
91340 ^ - of god
91350 ^ - of god
91379 ^ of the world this,
91403 ^ of the wise,
91450 ^ of the mysteries of god.
91510 ^ - of darkness,
91516 ^ of the hearts;
91659 ^ of the earth
91754 ^ not the talk
91768 ^ - of god [is],
91802 ^ of the father
91844 ^ of the lord our jesus
91857 ^ of the lord of us jesus,
91868 ^ of the flesh,
91877 ^ of the lord.
91920 ^ of malice
91921 ^ and wickedness,
91926 ^ of sincerity
91927 ^ and of truth.
91941 ^ the world of this,
91944 ^ or with the covetous
91947 ^ and swindlers,
91949 ^ or idolaters —
92042 ^ of cases of the smallest?
92080 ^ the brother of him?
92169 ^ of the lord
92177 ^ of the god of us.
92254 ^ of the christ,
92317 ^ of the
92666 ^ [the] commandments of god.
92838 ^ of the world this.
92850 ^ of the lord,
92861 ^ of the world,
92879 ^ of the lord,
92895 ^ of the world,
92905 ^ of you yourselves benefit
92920 ^ to the lord,
93069 ^ of the things sacrificed to idols,
93142 ^ of the idol
93286 ^ of my the apostleship,
93323 ^ of the lord,
93325 ^ and cephas?
93359 ^ of the flock
93452 ^ of christ.
93861 ^ of the ages
93917 ^ - of blessing
93924 ^ in the blood
93926 ^ - of christ?
93934 ^ in the body
93936 ^ - of christ
93966 ^ in the altar
93995 ^ - with demons
94040 ^ of the other.
94066 ^ of the unbelieving,
94101 ^ not -
94103 ^ your own,
94104 ^ but that
94106 ^ of the other;
94149 ^ - of god —
94163 ^ of the many,
94206 ^ - of christ
94229 ^ with the head,
94398 ^ - of god.
94486 ^ - of god
94584 ^ of the lord
94600 ^ of the lord
94605 ^ of the body
94607 ^ and of the blood
94610 ^ of the lord.
94779 ^ of the spirit
94862 ^ of the body,
95025 ^ of the body
95036 ^ of the body,
95172 ^ - of men
95175 ^ and - of angels,
95327 ^ of the child.
95537 ^ of the sound,
95559 ^ of the church,
95613 ^ of the uninstructed,
95763 ^ of the heart of him
95883 ^ of the saints,
95926 ^ - of god
96078 ^ of the apostles,
96090 ^ - of god.
96110 ^ than them all
96119 ^ - of god
96181 ^ - of god,
96241 ^ than all men
96287 ^ of christ
96493 ^ of wheat, or of some
96496 ^ of the rest.
96508 ^ of the seeds,
96543 ^ of the heavenly glory,
96549 ^ of the earthly.
96572 ^ of the dead.
96664 ^ of the earthly,
96670 ^ of the heavenly.
96770 ^ - of death [is]
96777 ^ - of sin,
96807 ^ of the lord
96832 ^ - of galatia,
97031 ^ - of achaia,
97057 ^ of stephanas,
97058 ^ and fortunatus,
97060 ^ and achaicus;
97084 ^ - of asia.
97128 ^ of the lord jesus
97144 ^ of christ jesus
97155 ^ - of god
97188 ^ of the lord of us
97195 ^ - of compassions,
97197 ^ and god
97199 ^ of all comfort,
97232 ^ of the christ
97264 ^ of the same sufferings
97283 ^ of the sufferings,
97322 ^ - of death
97382 ^ of the conscience of us,
97390 ^ - of god,
97392 ^ and
97444 ^ of the lord of us jesus.
97523 ^ - of god
97591 ^ of the spirit
97623 ^ of the joy with you;
97724 ^ to such a one
97808 ^ - of christ,
97850 ^ of the knowledge of him
97900 ^ - of god;
97960 ^ of god
98004 ^ of a new covenant,
98006 ^ not of [the] letter
98008 ^ but of [the] spirit;
98022 ^ - of death,
98045 ^ of the face of him,
98055 ^ of the spirit
98064 ^ - of condemnation [was]
98072 ^ - of righteousness
98146 ^ of the old covenant
98225 ^ - of shame,
98235 ^ - of god,
98240 ^ of the truth
98268 ^ of the age this
98274 ^ of the unbelieving,
98282 ^ of the gospel
98284 ^ of the glory
98286 ^ - of christ,
98291 ^ - of god.
98324 ^ of the knowledge
98326 ^ of the glory
98328 ^ - of god
98332 ^ of jesus christ.
98345 ^ of the power
98375 ^ - [of] jesus
98385 ^ - of jesus
98406 ^ - of jesus
98430 ^ - of faith,
98470 ^ - more and more the thanksgiving
98478 ^ - of god.
98503 ^ - affliction of us,
98539 ^ of us house,
98541 ^ the tent,
98610 ^ of the spirit,
98666 ^ - of christ,
98686 ^ of the lord,
98710 ^ of boasting
98734 ^ - of christ
98815 ^ - of reconciliation,
98838 ^ - of reconciliation.
98880 ^ - of god
98966 ^ - of righteousness
99052 ^ righteousness
99053 ^ and lawlessness?
99076 ^ [the] temple of god
99083 ^ of god
99148 ^ of flesh
99149 ^ and spirit,
99325 ^ the of the world grief,
99449 ^ of all of you obedience,
99472 ^ - of god
99479 ^ - of macedonia,
99488 ^ of the joy of them
99491 ^ and -
99501 ^ the generosity of them.
99522 ^ of the service
99598 ^ - of your love genuineness
99607 ^ of the lord of us
99788 ^ himself
99789 ^ of the lord glory,
99792 ^ and readiness of us,
99861 ^ of the love of you
99864 ^ and of our boasting
99874 ^ of the churches.
100070 ^ of the righteousness of you,
100089 ^ of the service this
100098 ^ of the saints,
100111 ^ of the service this,
100120 ^ of the of confession of you
100126 ^ - of christ
100128 ^ and [the] generosity
100130 ^ of the participation
100148 ^ - of god
100171 ^ - of christ,
100216 ^ of the warfare of us
100223 ^ - divinely
100237 ^ - of god,
100246 ^ - of christ,
100326 ^ of the body
100384 ^ of the area
100413 ^ - of christ,
100553 ^ to those most eminent apostles.
100585 ^ - of god gospel
100643 ^ - of achaia.
100750 ^ - of boasting.
100904 ^ for all the churches.
100922 ^ of the weakness of me
100930 ^ of the lord jesus
100947 ^ under aretas
101083 ^ of the revelations.
101092 ^ in [my] flesh,
101140 ^ - of christ.
101176 ^ to those most eminent apostles,
101186 ^ of the apostle
101389 ^ of two witnesses
101581 ^ - of love
101583 ^ and peace
101600 ^ of the lord
101607 ^ of god,
101609 ^ and the fellowship
101612 ^ of the holy spirit,
101646 ^ - of galatia:
101673 ^ of
101679 ^ of the god
101681 ^ and father of us,
101690 ^ of the ages.
101724 ^ - of christ.
101804 ^ of jesus christ.
101821 ^ - of god
101841 ^ of the fathers of me traditions.
101855 ^ of mother of me,
101916 ^ of the apostles
101925 ^ of the lord.
101943 ^ - of syria
101945 ^ and - cilicia.
101955 ^ - of judea
102060 ^ of the gospel
102096 ^ of the uncircumcision,
102108 ^ of the circumcision
102217 ^ of the gospel,
102259 ^ from jesus; christ
102341 ^ from the son
102343 ^ - of god,
102357 ^ - of god;
102504 ^ of the law,
102545 ^ of the law,
102565 ^ - of abraham
102574 ^ of the spirit
102699 ^ - of god?
102730 ^ from jesus christ,
102847 ^ by [his] father.
102858 ^ of the world
102867 ^ of the time,
102899 ^ of the son of him
102992 ^ of the flesh
103203 ^ of the desolate woman
103251 ^ of the slave woman
103256 ^ of the free.”
103394 ^ of the cross.
103414 ^ to the flesh.
103496 ^ of the flesh,
103536 ^ of the spirit
103556 ^ - of christ jesus,
103613 ^ - of christ.
103725 ^ of the of faith.
103748 ^ - of christ
103779 ^ of the lord of us
103816 ^ - of god.
103828 ^ - of jesus
103837 ^ of the lord of us
103850 ^ of christ jesus
103883 ^ of the lord of us
103929 ^ of the will of him,
103934 ^ of [the] glory
103935 ^ of the of grace of him,
103955 ^ - of trespasses,
103960 ^ of the grace of him,
103976 ^ of the will of him
103989 ^ of the fullness
103991 ^ of the times,
104024 ^ of the will of him,
104033 ^ of [the] glory of him,
104047 ^ - of truth,
104051 ^ of the salvation of you,
104061 ^ - of promise
104068 ^ of the inheritance of us,
104073 ^ of the acquired possession,
104077 ^ of the glory of him.
104114 ^ of the lord of us
104121 ^ - of glory,
104126 ^ of wisdom
104127 ^ and revelation
104135 ^ of the heart of you,
104146 ^ of the calling of him,
104152 ^ of the glory
104154 ^ of the inheritance of him
104165 ^ of the power of him
104175 ^ of the might
104177 ^ of the strength of him,
104266 ^ the world of this,
104272 ^ of the authority
104274 ^ of the air,
104276 ^ the spirit
104284 ^ - of disobedience,
104296 ^ of the flesh of us,
104302 ^ of the flesh,
104304 ^ and of [its] thoughts;
104363 ^ of the grace of him
104443 ^ - of israel,
104445 ^ and strangers
104447 ^ to the covenants
104449 ^ of the promise,
104474 ^ - of christ.
104490 ^ of the fence
104501 ^ - of commandments
104570 ^ of the saints
104572 ^ and of the household
104574 ^ - of god,
104580 ^ of the apostles
104582 ^ and prophets,
104607 ^ - of god
104617 ^ - of christ jesus,
104629 ^ of the grace
104631 ^ - of god,
104660 ^ - of christ,
104669 ^ - of men,
104690 ^ of the promise
104704 ^ of the grace
104706 ^ - of god
104714 ^ of the power of him.
104720 ^ of all saints,
104732 ^ - of christ,
104740 ^ of the mystery
104771 ^ - of god,
104775 ^ of the ages,
104838 ^ of the glory of him,
104889 ^ - of christ,
104897 ^ - of god.
104931 ^ of the age
104933 ^ of the ages.
104946 ^ of the calling
104965 ^ of the spirit
104970 ^ - of peace;
104983 ^ of the calling of you;
105016 ^ of the gift
105018 ^ - of christ.
105045 ^ of the earth?
105082 ^ of the saints,
105089 ^ of the body
105091 ^ - of christ,
105100 ^ of the faith
105102 ^ and of the knowledge
105105 ^ of the son
105107 ^ - of god,
105114 ^ of [the] stature
105115 ^ of the fullness
105117 ^ - of christ,
105128 ^ - of teaching,
105133 ^ - of men
105140 ^ - of deceit.
105167 ^ of [its] supply,
105173 ^ individual of each part,
105178 ^ of the body
105203 ^ of the mind of them,
105213 ^ - of god,
105225 ^ of the heart of them,
105236 ^ of impurity, all
105275 ^ - of deceit,
105281 ^ of the mind of you,
105297 ^ - of truth.
105365 ^ of the need,
105379 ^ - of god,
105422 ^ - of god,
105445 ^ - to god,
105496 ^ - of christ,
105498 ^ and of god.
105511 ^ - of god
105516 ^ - of disobedience.
105539 ^ of the light [is]
105552 ^ to the lord.
105561 ^ - of darkness;
105635 ^ of the lord [is].
105672 ^ the lord of us
105698 ^ of the wife,
105705 ^ of the church,
105709 ^ of the body.
105749 ^ - of water
105767 ^ of the such things,
