a-apf	adjective, accusative, plural, feminine
v-2aoi-1s	verb, second aorist, passive deponent, indicative, first, singular
v-2aoi-2p	verb, second aorist, passive deponent, indicative, second, plural
v-2aoi-3p	verb, second aorist, passive deponent, indicative, third, plural
v-2aoi-3s	verb, second aorist, passive deponent, indicative, third, singular
v-2aom-2p	verb, second aorist, passive deponent, imperative, second, plural
v-2aon	verb, second aorist, passive deponent, infinitive
v-2aos-2p	verb, second aorist, passive deponent, subjunctive, second, plural
v-2api-1p	verb, second aorist, passive, indicative, first, plural
v-2api-1s	verb, second aorist, passive, indicative, first, singular
v-2api-2p	verb, second aorist, passive, indicative, second, plural
v-2api-2s	verb, second aorist, passive, indicative, second, singular
v-2api-3p	verb, second aorist, passive, indicative, third, plural
v-2api-3s	verb, second aorist, passive, indicative, third, singular
v-2apm-2p	verb, second aorist, passive, imperative, second, plural
v-2apm-2s	verb, second aorist, passive, imperative, second, singular
v-2apm-3s	verb, second aorist, passive, imperative, third, singular
v-2apn	verb, second aorist, passive, infinitive
v-2app-asm	verb, second aorist, passive, participle, accusative, singular, masculine
v-2app-dsn	verb, second aorist, passive, participle, dative, singular, neuter
v-2app-gpm	verb, second aorist, passive, participle, genitive, plural, masculine
v-2app-npf	verb, second aorist, passive, participle, nominative, plural, feminine
v-2app-npm	verb, second aorist, passive, participle, nominative, plural, masculine
v-2app-nsf	verb, second aorist, passive, participle, nominative, singular, feminine
v-2app-nsm	verb, second aorist, passive, participle, nominative, singular, masculine
v-2app-nsn	verb, second aorist, passive, participle, nominative, singular, neuter
v-2aps-1p	verb, second aorist, passive, subjunctive, first, plural
v-2aps-2p	verb, second aorist, passive, subjunctive, second, plural
v-2aps-2s	verb, second aorist, passive, subjunctive, second, singular
v-2aps-3p	verb, second aorist, passive, subjunctive, third, plural
v-2aps-3s	verb, second aorist, passive, subjunctive, third, singular
v-2fai-1s	verb, second future, active, indicative, first, singular
v-2fai-3s	verb, second future, active, indicative, third, singular
v-2fdi-2s	verb, second future, middle deponent, indicative, second, singular
v-2fmi-3s	verb, second future, middle, indicative, third, singular
v-2foi-1s	verb, second future, passive deponent, indicative, first, singular
v-2foi-3p	verb, second future, passive deponent, indicative, third, plural
v-2foi-3s	verb, second future, passive deponent, indicative, third, singular
v-2fpi-1p	verb, second future, passive, indicative, first, plural
v-2fpi-2p	verb, second future, passive, indicative, second, plural
v-2fpi-2s	verb, second future, passive, indicative, second, singular
v-2fpi-3p	verb, second future, passive, indicative, third, plural
v-2fpi-3s	verb, second future, passive, indicative, third, singular
v-2lai-1s	verb, second pluperfect, active, indicative, first, singular
v-2lai-2p	verb, second pluperfect, active, indicative, second, plural
v-2lai-2s	verb, second pluperfect, active, indicative, second, singular
v-2lai-3p	verb, second pluperfect, active, indicative, third, plural
v-2lai-3s	verb, second pluperfect, active, indicative, third, singular
v-2pai-2s	verb, second present, active, indicative, second, singular
v-2pan	verb, second present, active, infinitive
v-2rai-1p	verb, second perfect, active, indicative, first, plural
v-2rai-1s	verb, second perfect, active, indicative, first, singular
v-2rai-2p	verb, second perfect, active, indicative, second, plural
v-2rai-2s	verb, second perfect, active, indicative, second, singular
v-2rai-3p	verb, second perfect, active, indicative, third, plural
v-2rai-3s	verb, second perfect, active, indicative, third, singular
v-2ran	verb, second perfect, active, infinitive
v-2rap-apm	verb, second perfect, active, participle, accusative, plural, masculine
v-2rap-apn	verb, second perfect, active, participle, accusative, plural, neuter
v-2rap-asf	verb, second perfect, active, participle, accusative, singular, feminine
v-2rap-asm	verb, second perfect, active, participle, accusative, singular, masculine
v-2rap-asn	verb, second perfect, active, participle, accusative, singular, neuter
v-2rap-dsn	verb, second perfect, active, participle, dative, singular, neuter
v-2rap-gpn	verb, second perfect, active, participle, genitive, plural, neuter
v-2rap-npf	verb, second perfect, active, participle, nominative, plural, feminine
v-2rap-npm	verb, second perfect, active, participle, nominative, plural, masculine
v-2rap-nsf	verb, second perfect, active, participle, nominative, singular, feminine
v-2rap-nsm	verb, second perfect, active, participle, nominative, singular, masculine
v-2rap-nsn	verb, second perfect, active, participle, nominative, singular, neuter
v-2rpp-apf	verb, second perfect, passive, participle, accusative, plural, feminine
v-2rpp-asm	verb, second perfect, passive, participle, accusative, singular, masculine
v-2rpp-asn	verb, second perfect, passive, participle, accusative, singular, neuter
v-2rpp-gsf	verb, second perfect, passive, participle, genitive, singular, feminine
v-2rpp-nsm	verb, second perfect, passive, participle, nominative, singular, masculine
v-aai-1p	verb, aorist, active, indicative, first, plural
v-aai-1s	verb, aorist, active, indicative, first, singular
v-aai-2p	verb, aorist, active, indicative, second, plural
v-aai-2s	verb, aorist, active, indicative, second, singular
v-aai-3p	verb, aorist, active, indicative, third, plural
v-aai-3s	verb, aorist, active, indicative, third, singular
v-aam-2p	verb, aorist, active, imperative, second, plural
v-aam-2s	verb, aorist, active, imperative, second, singular
v-aam-3p	verb, aorist, active, imperative, third, plural
v-aam-3s	verb, aorist, active, imperative, third, singular
v-aan	verb, aorist, active, infinitive
v-aao-3p	verb, aorist, active, optative, third, plural
v-aao-3s	verb, aorist, active, optative, third, singular
v-aap-apm	verb, aorist, active, participle, accusative, plural, masculine
v-aap-apn	verb, aorist, active, participle, accusative, plural, neuter
v-aap-asf	verb, aorist, active, participle, accusative, singular, feminine
v-aap-asm	verb, aorist, active, participle, accusative, singular, masculine
v-aap-asn	verb, aorist, active, participle, accusative, singular, neuter
v-aap-dpm	verb, aorist, active, participle, dative, plural, masculine
v-aap-dsm	verb, aorist, active, participle, dative, singular, masculine
v-aap-gpm	verb, aorist, active, participle, genitive, plural, masculine
v-aap-gsm	verb, aorist, active, participle, genitive, singular, masculine
v-aap-npf	verb, aorist, active, participle, nominative, plural, feminine
v-aap-npm	verb, aorist, active, participle, nominative, plural, masculine
v-aap-nsf	verb, aorist, active, participle, nominative, singular, feminine
v-aap-nsm	verb, aorist, active, participle, nominative, singular, masculine
v-aap-nsn	verb, aorist, active, participle, nominative, singular, neuter
v-aas-1p	verb, aorist, active, subjunctive, first, plural
v-aas-1s	verb, aorist, active, subjunctive, first, singular
v-aas-2p	verb, aorist, active, subjunctive, second, plural
v-aas-2s	verb, aorist, active, subjunctive, second, singular
v-aas-3p	verb, aorist, active, subjunctive, third, plural
v-aas-3s	verb, aorist, active, subjunctive, third, singular
v-adi-1p	verb, aorist, middle deponent, indicative, first, plural
v-adi-1s	verb, aorist, middle deponent, indicative, first, singular
v-adi-2p	verb, aorist, middle deponent, indicative, second, plural
v-adi-2s	verb, aorist, middle deponent, indicative, second, singular
v-adi-3p	verb, aorist, middle deponent, indicative, third, plural
v-adi-3s	verb, aorist, middle deponent, indicative, third, singular
v-adm-2p	verb, aorist, middle deponent, imperative, second, plural
v-adm-2s	verb, aorist, middle deponent, imperative, second, singular
v-adm-3p	verb, aorist, middle deponent, imperative, third, plural
v-adm-3s	verb, aorist, middle deponent, imperative, third, singular
v-adn	verb, aorist, middle deponent, infinitive
v-ado-1s	verb, aorist, middle deponent, optative, first, singular
v-adp-apm	verb, aorist, middle deponent, participle, accusative, plural, masculine
v-adp-asm	verb, aorist, middle deponent, participle, accusative, singular, masculine
v-adp-dpm	verb, aorist, middle deponent, participle, dative, plural, masculine
v-adp-gsf	verb, aorist, middle deponent, participle, genitive, singular, feminine
v-adp-npm	verb, aorist, middle deponent, participle, nominative, plural, masculine
v-adp-nsf	verb, aorist, middle deponent, participle, nominative, singular, feminine
v-adp-nsm	verb, aorist, middle deponent, participle, nominative, singular, masculine
v-ads-1p	verb, aorist, middle deponent, subjunctive, first, plural
v-ads-1s	verb, aorist, middle deponent, subjunctive, first, singular
v-ads-2p	verb, aorist, middle deponent, subjunctive, second, plural
v-ads-2s	verb, aorist, middle deponent, subjunctive, second, singular
v-ads-3p	verb, aorist, middle deponent, subjunctive, third, plural
v-ads-3s	verb, aorist, middle deponent, subjunctive, third, singular
v-ami-1p	verb, aorist, middle, indicative, first, plural
v-ami-1s	verb, aorist, middle, indicative, first, singular
v-ami-2p	verb, aorist, middle, indicative, second, plural
v-ami-2s	verb, aorist, middle, indicative, second, singular
v-ami-3p	verb, aorist, middle, indicative, third, plural
v-ami-3s	verb, aorist, middle, indicative, third, singular
v-amm-2p	verb, aorist, middle, imperative, second, plural
v-amm-2s	verb, aorist, middle, imperative, second, singular
v-amm-3s	verb, aorist, middle, imperative, third, singular
v-amn	verb, aorist, middle, infinitive
v-amp-apm	verb, aorist, middle, participle, accusative, plural, masculine
v-amp-dpm	verb, aorist, middle, participle, dative, plural, masculine
v-amp-gpm	verb, aorist, middle, participle, genitive, plural, masculine
v-amp-gsm	verb, aorist, middle, participle, genitive, singular, masculine
v-amp-npm	verb, aorist, middle, participle, nominative, plural, masculine
v-amp-nsf	verb, aorist, middle, participle, nominative, singular, feminine
v-amp-nsm	verb, aorist, middle, participle, nominative, singular, masculine
v-ams-1p	verb, aorist, middle, subjunctive, first, plural
v-ams-1s	verb, aorist, middle, subjunctive, first, singular
v-ams-2p	verb, aorist, middle, subjunctive, second, plural
v-ams-2s	verb, aorist, middle, subjunctive, second, singular
v-ams-3p	verb, aorist, middle, subjunctive, third, plural
v-ams-3s	verb, aorist, middle, subjunctive, third, singular
v-ani-3p	verb, aorist, middle or passive deponent, indicative, third, plural
v-ani-3s	verb, aorist, middle or passive deponent, indicative, third, singular
v-anp-nsm	verb, aorist, middle or passive deponent, participle, nominative, singular, masculine
v-anp-nsn	verb, aorist, middle or passive deponent, participle, nominative, singular, neuter
v-aoi-1p	verb, aorist, passive deponent, indicative, first, plural
v-aoi-1s	verb, aorist, passive deponent, indicative, first, singular
v-aoi-2p	verb, aorist, passive deponent, indicative, second, plural
v-aoi-3p	verb, aorist, passive deponent, indicative, third, plural
v-aoi-3s	verb, aorist, passive deponent, indicative, third, singular
v-aom-2p	verb, aorist, passive deponent, imperative, second, plural
v-aom-2s	verb, aorist, passive deponent, imperative, second, singular
v-aom-3s	verb, aorist, passive deponent, imperative, third, singular
v-aon	verb, aorist, passive deponent, infinitive
v-aoo-3s	verb, aorist, passive deponent, optative, third, singular
v-aop-apm	verb, aorist, passive deponent, participle, accusative, plural, masculine
v-aop-dsm	verb, aorist, passive deponent, participle, dative, singular, masculine
v-aop-gpm	verb, aorist, passive deponent, participle, genitive, plural, masculine
v-aop-gpn	verb, aorist, passive deponent, participle, genitive, plural, neuter
v-aop-gsm	verb, aorist, passive deponent, participle, genitive, singular, masculine
v-aop-npf	verb, aorist, passive deponent, participle, nominative, plural, feminine
v-aop-npm	verb, aorist, passive deponent, participle, nominative, plural, masculine
v-aop-nsf	verb, aorist, passive deponent, participle, nominative, singular, feminine
v-aop-nsm	verb, aorist, passive deponent, participle, nominative, singular, masculine
v-aop-nsn	verb, aorist, passive deponent, participle, nominative, singular, neuter
v-aos-1p	verb, aorist, passive deponent, subjunctive, first, plural
v-aos-1s	verb, aorist, passive deponent, subjunctive, first, singular
v-aos-2p	verb, aorist, passive deponent, subjunctive, second, plural
v-aos-2s	verb, aorist, passive deponent, subjunctive, second, singular
v-aos-3p	verb, aorist, passive deponent, subjunctive, third, plural
v-aos-3s	verb, aorist, passive deponent, subjunctive, third, singular
v-api-1p	verb, aorist, passive, indicative, first, plural
v-api-1s	verb, aorist, passive, indicative, first, singular
v-api-2p	verb, aorist, passive, indicative, second, plural
v-api-2s	verb, aorist, passive, indicative, second, singular
v-api-3p	verb, aorist, passive, indicative, third, plural
v-api-3s	verb, aorist, passive, indicative, third, singular
v-apm-2p	verb, aorist, passive, imperative, second, plural
v-apm-2s	verb, aorist, passive, imperative, second, singular
v-apm-3p	verb, aorist, passive, imperative, third, plural
v-apm-3s	verb, aorist, passive, imperative, third, singular
v-apn	verb, aorist, passive, infinitive
v-apo-3s	verb, aorist, passive, optative, third, singular
v-app-apm	verb, aorist, passive, participle, accusative, plural, masculine
v-app-apn	verb, aorist, passive, participle, accusative, plural, neuter
v-app-asf	verb, aorist, passive, participle, accusative, singular, feminine
v-app-asm	verb, aorist, passive, participle, accusative, singular, masculine
v-app-asn	verb, aorist, passive, participle, accusative, singular, neuter
v-app-dpn	verb, aorist, passive, participle, dative, plural, neuter
v-app-dsf	verb, aorist, passive, participle, dative, singular, feminine
v-app-dsm	verb, aorist, passive, participle, dative, singular, masculine
v-app-gpf	verb, aorist, passive, participle, genitive, plural, feminine
v-app-gpm	verb, aorist, passive, participle, genitive, plural, masculine
v-app-gpn	verb, aorist, passive, participle, genitive, plural, neuter
v-app-gsf	verb, aorist, passive, participle, genitive, singular, feminine
v-app-gsm	verb, aorist, passive, participle, genitive, singular, masculine
v-app-gsn	verb, aorist, passive, participle, genitive, singular, neuter
v-app-npm	verb, aorist, passive, participle, nominative, plural, masculine
v-app-npn	verb, aorist, passive, participle, nominative, plural, neuter
v-app-nsf	verb, aorist, passive, participle, nominative, singular, feminine
v-app-nsm	verb, aorist, passive, participle, nominative, singular, masculine
v-app-nsn	verb, aorist, passive, participle, nominative, singular, neuter
v-aps-1p	verb, aorist, passive, subjunctive, first, plural
v-aps-1s	verb, aorist, passive, subjunctive, first, singular
v-aps-2p	verb, aorist, passive, subjunctive, second, plural
v-aps-2s	verb, aorist, passive, subjunctive, second, singular
v-aps-3p	verb, aorist, passive, subjunctive, third, plural
v-aps-3s	verb, aorist, passive, subjunctive, third, singular
v-fai-1p	verb, future, active, indicative, first, plural
v-fai-1s	verb, future, active, indicative, first, singular
v-fai-2p	verb, future, active, indicative, second, plural
v-fai-2s	verb, future, active, indicative, second, singular
v-fai-3p	verb, future, active, indicative, third, plural
v-fai-3s	verb, future, active, indicative, third, singular
v-fan	verb, future, active, infinitive
v-fap-apn	verb, future, active, participle, accusative, plural, neuter
v-fap-npm	verb, future, active, participle, nominative, plural, masculine
v-fap-nsm	verb, future, active, participle, nominative, singular, masculine
v-fdi-1p	verb, future, middle deponent, indicative, first, plural
v-fdi-1s	verb, future, middle deponent, indicative, first, singular
v-fdi-2p	verb, future, middle deponent, indicative, second, plural
v-fdi-2s	verb, future, middle deponent, indicative, second, singular
v-fdi-3p	verb, future, middle deponent, indicative, third, plural
v-fdi-3s	verb, future, middle deponent, indicative, third, singular
v-fdn	verb, future, middle deponent, infinitive
v-fdp-asn	verb, future, middle deponent, participle, accusative, singular, neuter
v-fmi-1s	verb, future, middle, indicative, first, singular
v-fmi-2p	verb, future, middle, indicative, second, plural
v-fmi-2s	verb, future, middle, indicative, second, singular
v-fmi-3p	verb, future, middle, indicative, third, plural
v-fmi-3s	verb, future, middle, indicative, third, singular
v-fni-3p	verb, future, middle or passive deponent, indicative, third, plural
v-fni-3s	verb, future, middle or passive deponent, indicative, third, singular
v-foi-1s	verb, future, passive deponent, indicative, first, singular
v-foi-3p	verb, future, passive deponent, indicative, third, plural
v-foi-3s	verb, future, passive deponent, indicative, third, singular
v-fpi-1p	verb, future, passive, indicative, first, plural
v-fpi-1s	verb, future, passive, indicative, first, singular
v-fpi-2p	verb, future, passive, indicative, second, plural
v-fpi-2s	verb, future, passive, indicative, second, singular
v-fpi-3p	verb, future, passive, indicative, third, plural
v-fpi-3s	verb, future, passive, indicative, third, singular
v-fpp-gpn	verb, future, passive, participle, genitive, plural, neuter
v-iai-1p	verb, imperfect, active, indicative, first, plural
v-iai-1s	verb, imperfect, active, indicative, first, singular
v-iai-2p	verb, imperfect, active, indicative, second, plural
v-iai-2s	verb, imperfect, active, indicative, second, singular
v-iai-3p	verb, imperfect, active, indicative, third, plural
v-iai-3s	verb, imperfect, active, indicative, third, singular
v-idi-3p	verb, imperfect, middle deponent, indicative, third, plural
v-iei-3s	verb, imperfect, either middle or passive, indicative, third, singular
v-imi-1p	verb, imperfect, middle, indicative, first, plural
v-imi-1s	verb, imperfect, middle, indicative, first, singular
v-imi-2p	verb, imperfect, middle, indicative, second, plural
v-imi-2s	verb, imperfect, middle, indicative, second, singular
v-imi-3p	verb, imperfect, middle, indicative, third, plural
v-imi-3s	verb, imperfect, middle, indicative, third, singular
v-ini-1p	verb, imperfect, middle or passive deponent, indicative, first, plural
v-ini-1s	verb, imperfect, middle or passive deponent, indicative, first, singular
v-ini-2p	verb, imperfect, middle or passive deponent, indicative, second, plural
v-ini-2s	verb, imperfect, middle or passive deponent, indicative, second, singular
v-ini-3p	verb, imperfect, middle or passive deponent, indicative, third, plural
v-ini-3s	verb, imperfect, middle or passive deponent, indicative, third, singular
v-ipi-1p	verb, imperfect, passive, indicative, first, plural
v-ipi-1s	verb, imperfect, passive, indicative, first, singular
v-ipi-2p	verb, imperfect, passive, indicative, second, plural
v-ipi-3p	verb, imperfect, passive, indicative, third, plural
v-ipi-3s	verb, imperfect, passive, indicative, third, singular
v-lai-2p	verb, pluperfect, active, indicative, second, plural
v-lai-3p	verb, pluperfect, active, indicative, third, plural
v-lai-3s	verb, pluperfect, active, indicative, third, singular
v-ldi-3s	verb, pluperfect, middle deponent, indicative, third, singular
v-lmi-3p	verb, pluperfect, middle, indicative, third, plural
v-lpi-3s	verb, pluperfect, passive, indicative, third, singular
v-pai-1p	verb, present, active, indicative, first, plural
v-pai-1s	verb, present, active, indicative, first, singular
v-pai-2p	verb, present, active, indicative, second, plural
v-pai-2s	verb, present, active, indicative, second, singular
v-pai-3p	verb, present, active, indicative, third, plural
v-pai-3s	verb, present, active, indicative, third, singular
v-pam-2p	verb, present, active, imperative, second, plural
v-pam-2s	verb, present, active, imperative, second, singular
v-pam-3p	verb, present, active, imperative, third, plural
v-pam-3s	verb, present, active, imperative, third, singular
v-pan	verb, present, active, infinitive
v-pao-2p	verb, present, active, optative, second, plural
v-pao-3p	verb, present, active, optative, third, plural
v-pao-3s	verb, present, active, optative, third, singular
v-pap-apf	verb, present, active, participle, accusative, plural, feminine
v-pap-apm	verb, present, active, participle, accusative, plural, masculine
v-pap-apn	verb, present, active, participle, accusative, plural, neuter
v-pap-asf	verb, present, active, participle, accusative, singular, feminine
v-pap-asm	verb, present, active, participle, accusative, singular, masculine
v-pap-asn	verb, present, active, participle, accusative, singular, neuter
v-pap-dpf	verb, present, active, participle, dative, plural, feminine
v-pap-dpm	verb, present, active, participle, dative, plural, masculine
v-pap-dpn	verb, present, active, participle, dative, plural, neuter
v-pap-dsf	verb, present, active, participle, dative, singular, feminine
v-pap-dsm	verb, present, active, participle, dative, singular, masculine
v-pap-dsn	verb, present, active, participle, dative, singular, neuter
v-pap-gpf	verb, present, active, participle, genitive, plural, feminine
v-pap-gpm	verb, present, active, participle, genitive, plural, masculine
v-pap-gpn	verb, present, active, participle, genitive, plural, neuter
v-pap-gsf	verb, present, active, participle, genitive, singular, feminine
v-pap-gsm	verb, present, active, participle, genitive, singular, masculine
v-pap-gsn	verb, present, active, participle, genitive, singular, neuter
v-pap-npf	verb, present, active, participle, nominative, plural, feminine
v-pap-npm	verb, present, active, participle, nominative, plural, masculine
v-pap-npn	verb, present, active, participle, nominative, plural, neuter
v-pap-nsf	verb, present, active, participle, nominative, singular, feminine
v-pap-nsm	verb, present, active, participle, nominative, singular, masculine
v-pap-nsn	verb, present, active, participle, nominative, singular, neuter
v-pap-vpm	verb, present, active, participle, vocative, plural, masculine
v-pap-vsf	verb, present, active, participle, vocative, singular, feminine
v-pap-vsm	verb, present, active, participle, vocative, singular, masculine
v-pas-1p	verb, present, active, subjunctive, first, plural
v-pas-1s	verb, present, active, subjunctive, first, singular
v-pas-2p	verb, present, active, subjunctive, second, plural
v-pas-2s	verb, present, active, subjunctive, second, singular
v-pas-3p	verb, present, active, subjunctive, third, plural
v-pas-3s	verb, present, active, subjunctive, third, singular
v-pdp-npm	verb, present, middle deponent, participle, nominative, plural, masculine
v-pei-2p	verb, present, either middle or passive, indicative, second, plural
v-pei-3p	verb, present, either middle or passive, indicative, third, plural
v-pei-3s	verb, present, either middle or passive, indicative, third, singular
v-pem-2p	verb, present, either middle or passive, imperative, second, plural
v-pen	verb, present, either middle or passive, infinitive
v-pep-asm	verb, present, either middle or passive, participle, accusative, singular, masculine
v-pep-dpm	verb, present, either middle or passive, participle, dative, plural, masculine
v-pep-gpn	verb, present, either middle or passive, participle, genitive, plural, neuter
v-pep-gsm	verb, present, either middle or passive, participle, genitive, singular, masculine
v-pep-npf	verb, present, either middle or passive, participle, nominative, plural, feminine
v-pep-npm	verb, present, either middle or passive, participle, nominative, plural, masculine
v-pep-nsf	verb, present, either middle or passive, participle, nominative, singular, feminine
v-pmi-1p	verb, present, middle, indicative, first, plural
v-pmi-1s	verb, present, middle, indicative, first, singular
v-pmi-2p	verb, present, middle, indicative, second, plural
v-pmi-2s	verb, present, middle, indicative, second, singular
v-pmi-3p	verb, present, middle, indicative, third, plural
v-pmi-3s	verb, present, middle, indicative, third, singular
v-pmm-2p	verb, present, middle, imperative, second, plural
v-pmm-2s	verb, present, middle, imperative, second, singular
v-pmm-3p	verb, present, middle, imperative, third, plural
v-pmm-3s	verb, present, middle, imperative, third, singular
v-pmn	verb, present, middle, infinitive
v-pmp-apf	verb, present, middle, participle, accusative, plural, feminine
v-pmp-apm	verb, present, middle, participle, accusative, plural, masculine
v-pmp-apn	verb, present, middle, participle, accusative, plural, neuter
v-pmp-asf	verb, present, middle, participle, accusative, singular, feminine
v-pmp-asm	verb, present, middle, participle, accusative, singular, masculine
v-pmp-asn	verb, present, middle, participle, accusative, singular, neuter
v-pmp-dpm	verb, present, middle, participle, dative, plural, masculine
v-pmp-dsf	verb, present, middle, participle, dative, singular, feminine
v-pmp-dsm	verb, present, middle, participle, dative, singular, masculine
v-pmp-gpf	verb, present, middle, participle, genitive, plural, feminine
v-pmp-gpm	verb, present, middle, participle, genitive, plural, masculine
v-pmp-gpn	verb, present, middle, participle, genitive, plural, neuter
v-pmp-gsf	verb, present, middle, participle, genitive, singular, feminine
v-pmp-gsm	verb, present, middle, participle, genitive, singular, masculine
v-pmp-gsn	verb, present, middle, participle, genitive, singular, neuter
v-pmp-npf	verb, present, middle, participle, nominative, plural, feminine
v-pmp-npm	verb, present, middle, participle, nominative, plural, masculine
v-pmp-nsf	verb, present, middle, participle, nominative, singular, feminine
v-pmp-nsm	verb, present, middle, participle, nominative, singular, masculine
v-pmp-nsn	verb, present, middle, participle, nominative, singular, neuter
v-pms-1p	verb, present, middle, subjunctive, first, plural
v-pms-1s	verb, present, middle, subjunctive, first, singular
v-pms-2s	verb, present, middle, subjunctive, second, singular
v-pms-3s	verb, present, middle, subjunctive, third, singular
v-pni-1p	verb, present, middle or passive deponent, indicative, first, plural
v-pni-1s	verb, present, middle or passive deponent, indicative, first, singular
v-pni-2p	verb, present, middle or passive deponent, indicative, second, plural
v-pni-2s	verb, present, middle or passive deponent, indicative, second, singular
v-pni-3p	verb, present, middle or passive deponent, indicative, third, plural
v-pni-3s	verb, present, middle or passive deponent, indicative, third, singular
v-pnm-2p	verb, present, middle or passive deponent, imperative, second, plural
v-pnm-2s	verb, present, middle or passive deponent, imperative, second, singular
v-pnm-3p	verb, present, middle or passive deponent, imperative, third, plural
v-pnm-3s	verb, present, middle or passive deponent, imperative, third, singular
v-pnn	verb, present, middle or passive deponent, infinitive
v-pno-1s	verb, present, middle or passive deponent, optative, first, singular
v-pno-3p	verb, present, middle or passive deponent, optative, third, plural
v-pno-3s	verb, present, middle or passive deponent, optative, third, singular
v-pnp-apf	verb, present, middle or passive deponent, participle, accusative, plural, feminine
v-pnp-apm	verb, present, middle or passive deponent, participle, accusative, plural, masculine
v-pnp-apn	verb, present, middle or passive deponent, participle, accusative, plural, neuter
v-pnp-asf	verb, present, middle or passive deponent, participle, accusative, singular, feminine
v-pnp-asm	verb, present, middle or passive deponent, participle, accusative, singular, masculine
v-pnp-asn	verb, present, middle or passive deponent, participle, accusative, singular, neuter
v-pnp-dpf	verb, present, middle or passive deponent, participle, dative, plural, feminine
v-pnp-dpm	verb, present, middle or passive deponent, participle, dative, plural, masculine
v-pnp-dpn	verb, present, middle or passive deponent, participle, dative, plural, neuter
v-pnp-dsf	verb, present, middle or passive deponent, participle, dative, singular, feminine
v-pnp-dsm	verb, present, middle or passive deponent, participle, dative, singular, masculine
v-pnp-dsn	verb, present, middle or passive deponent, participle, dative, singular, neuter
v-pnp-gpf	verb, present, middle or passive deponent, participle, genitive, plural, feminine
v-pnp-gpm	verb, present, middle or passive deponent, participle, genitive, plural, masculine
v-pnp-gpn	verb, present, middle or passive deponent, participle, genitive, plural, neuter
v-pnp-gsf	verb, present, middle or passive deponent, participle, genitive, singular, feminine
v-pnp-gsm	verb, present, middle or passive deponent, participle, genitive, singular, masculine
v-pnp-gsn	verb, present, middle or passive deponent, participle, genitive, singular, neuter
v-pnp-npf	verb, present, middle or passive deponent, participle, nominative, plural, feminine
v-pnp-npm	verb, present, middle or passive deponent, participle, nominative, plural, masculine
v-pnp-npn	verb, present, middle or passive deponent, participle, nominative, plural, neuter
v-pnp-nsf	verb, present, middle or passive deponent, participle, nominative, singular, feminine
v-pnp-nsm	verb, present, middle or passive deponent, participle, nominative, singular, masculine
v-pnp-nsn	verb, present, middle or passive deponent, participle, nominative, singular, neuter
v-pnp-vpm	verb, present, middle or passive deponent, participle, vocative, plural, masculine
v-pnp-vsm	verb, present, middle or passive deponent, participle, vocative, singular, masculine
v-pns-1p	verb, present, middle or passive deponent, subjunctive, first, plural
v-pns-1s	verb, present, middle or passive deponent, subjunctive, first, singular
v-pns-2p	verb, present, middle or passive deponent, subjunctive, second, plural
v-pns-2s	verb, present, middle or passive deponent, subjunctive, second, singular
v-pns-3p	verb, present, middle or passive deponent, subjunctive, third, plural
v-pns-3s	verb, present, middle or passive deponent, subjunctive, third, singular
v-pop-npm	verb, present, passive deponent, participle, nominative, plural, masculine
v-ppi-1p	verb, present, passive, indicative, first, plural
v-ppi-1s	verb, present, passive, indicative, first, singular
v-ppi-2p	verb, present, passive, indicative, second, plural
v-ppi-2s	verb, present, passive, indicative, second, singular
v-ppi-3p	verb, present, passive, indicative, third, plural
v-ppi-3s	verb, present, passive, indicative, third, singular
v-ppm-2p	verb, present, passive, imperative, second, plural
v-ppm-2s	verb, present, passive, imperative, second, singular
v-ppm-3p	verb, present, passive, imperative, third, plural
v-ppm-3s	verb, present, passive, imperative, third, singular
v-ppn	verb, present, passive, infinitive
v-ppp-apf	verb, present, passive, participle, accusative, plural, feminine
v-ppp-apm	verb, present, passive, participle, accusative, plural, masculine
v-ppp-apn	verb, present, passive, participle, accusative, plural, neuter
v-ppp-asf	verb, present, passive, participle, accusative, singular, feminine
v-ppp-asm	verb, present, passive, participle, accusative, singular, masculine
v-ppp-asn	verb, present, passive, participle, accusative, singular, neuter
v-ppp-dpm	verb, present, passive, participle, dative, plural, masculine
v-ppp-dpn	verb, present, passive, participle, dative, plural, neuter
v-ppp-dsf	verb, present, passive, participle, dative, singular, feminine
v-ppp-dsm	verb, present, passive, participle, dative, singular, masculine
v-ppp-dsn	verb, present, passive, participle, dative, singular, neuter
v-ppp-gpm	verb, present, passive, participle, genitive, plural, masculine
v-ppp-gpn	verb, present, passive, participle, genitive, plural, neuter
v-ppp-gsf	verb, present, passive, participle, genitive, singular, feminine
v-ppp-gsm	verb, present, passive, participle, genitive, singular, masculine
v-ppp-gsn	verb, present, passive, participle, genitive, singular, neuter
v-ppp-npf	verb, present, passive, participle, nominative, plural, feminine
v-ppp-npm	verb, present, passive, participle, nominative, plural, masculine
v-ppp-npn	verb, present, passive, participle, nominative, plural, neuter
v-ppp-nsf	verb, present, passive, participle, nominative, singular, feminine
v-ppp-nsm	verb, present, passive, participle, nominative, singular, masculine
v-ppp-nsn	verb, present, passive, participle, nominative, singular, neuter
v-pps-1p	verb, present, passive, subjunctive, first, plural
v-pps-1s	verb, present, passive, subjunctive, first, singular
v-pps-2p	verb, present, passive, subjunctive, second, plural
v-pps-3p	verb, present, passive, subjunctive, third, plural
